,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.28,0.1,0.0,0.14,0.03,0.11,0.04,0.06,0.0,0.13,1.0,0.08
echongl.csv,0.26,0.59,0.5,0.4,0.65,0.54,0.99,0.08,0.42,0.52,0.08,0.12
hazelcast.csv,0.55,1.0,0.65,0.67,0.82,0.89,0.83,0.3,0.7,0.8,0.22,0.36
japano.csv,0.46,0.77,0.62,0.51,1.0,0.69,0.81,0.14,0.7,0.72,0.23,0.26
jmol.csv,0.51,0.63,0.36,0.62,0.59,0.98,0.41,0.09,0.46,0.68,0.2,0.32
mobicents.csv,0.45,0.58,0.39,0.98,0.7,0.59,0.55,0.33,0.42,0.58,0.33,0.4
nunit.csv,0.41,0.73,0.45,0.46,0.5,0.69,0.35,0.39,0.21,0.16,0.31,0.95
openefm.csv,0.99,0.56,0.34,0.53,0.62,0.72,0.11,0.31,0.43,0.62,0.29,0.39
snakeyaml.csv,0.49,0.66,0.7,0.53,0.78,0.55,0.79,0.96,0.52,0.66,0.36,0.34
trackit.csv,0.46,0.72,0.99,0.39,0.53,0.51,0.65,0.26,0.41,0.43,0.23,0.28
unicase.csv,0.44,0.78,0.61,0.55,0.83,0.75,0.82,0.23,0.31,1.0,0.24,0.39
wheat.csv,0.28,0.34,0.3,0.48,0.6,0.15,0.64,0.07,0.96,0.45,0.11,0.26
