,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.82,0.95,1.0,0.92,0.99,0.94,0.98,0.96,1.0,0.93,0.0,0.95
echongl.csv,0.82,0.64,0.8,0.73,0.92,0.74,0.03,0.94,0.84,0.82,1.09,0.93
hazelcast.csv,0.71,0.0,0.88,0.85,0.72,0.96,1.0,0.7,1.0,0.67,0.93,0.82
japano.csv,0.85,0.94,0.97,0.74,0.0,0.73,1.0,0.91,1.0,0.87,0.7,0.8
jmol.csv,0.54,0.56,0.78,0.59,0.87,0.17,0.75,0.95,0.76,0.62,0.79,0.69
mobicents.csv,0.61,0.81,0.75,0.02,0.63,0.7,0.62,0.49,0.72,0.64,0.5,0.56
nunit.csv,0.66,1.05,0.7,0.68,0.79,0.5,0.8,0.48,0.91,0.91,0.57,0.1
openefm.csv,0.01,0.63,0.82,0.68,0.64,0.64,0.95,0.56,0.71,0.75,0.58,0.56
snakeyaml.csv,0.78,0.91,0.74,0.76,0.48,0.65,0.55,0.04,0.86,0.79,0.56,0.76
trackit.csv,0.66,0.46,0.04,0.78,0.77,0.74,0.89,0.62,0.79,0.76,0.67,0.72
unicase.csv,0.79,0.44,0.86,0.64,0.92,0.83,0.62,0.74,0.86,0.01,0.75,0.57
wheat.csv,0.8,0.84,0.83,0.72,0.87,0.92,0.57,1.0,0.07,0.74,0.89,0.74
