,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.39,0.84,0.47,0.53,0.46,0.45,0.42,0.37,0.44,0.39,0.57,0.44,0.57
ftm.csv,0.64,0.72,0.67,0.62,0.63,0.57,0.51,0.54,0.71,0.73,0.73,0.54,0.53
google-web-toolkit.csv,0.5,0.71,0.77,0.69,0.62,0.51,0.6,0.59,0.9,0.75,0.97,0.93,0.72
gzigzag.csv,0.63,0.9,0.82,0.98,0.8,0.87,0.98,0.86,0.5,0.86,0.95,0.95,0.83
illumination.csv,0.78,0.53,0.8,0.62,0.91,0.85,0.94,0.6,0.93,0.95,0.69,0.7,0.89
jcache.csv,0.55,0.41,0.41,0.52,0.64,0.48,0.84,0.93,0.6,0.78,0.52,0.95,0.44
moast.csv,0.62,0.55,0.41,0.7,0.59,0.54,0.6,0.92,0.52,0.43,0.51,0.55,0.56
nativeclient.csv,0.38,0.43,0.43,0.53,0.5,0.4,0.43,0.38,0.36,0.56,0.57,0.41,0.6
ns-3-dev-def-routing.csv,0.67,0.68,0.91,0.92,0.65,0.99,0.63,0.61,0.92,0.45,0.98,0.56,0.89
openfrag.csv,0.33,0.45,0.46,0.82,0.53,0.44,0.46,0.51,0.45,0.42,0.53,0.52,0.38
qdvdauthor.csv,0.43,0.82,0.44,0.5,0.48,0.52,0.48,0.44,0.49,0.83,0.5,0.49,0.54
sauerbraten.csv,0.38,0.37,0.51,0.52,0.52,0.59,0.55,0.48,0.55,0.81,0.45,0.46,0.44
zoolib.csv,0.67,0.97,0.93,0.96,0.94,0.97,0.96,0.94,0.67,0.53,0.97,0.96,0.75
