,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.87,0.95,0.76,0.9,0.83,0.85,0.82,0.92,0.53,0.97,0.81,0.97,0.82
ftm.csv,0.31,0.24,0.34,0.39,0.27,0.39,0.43,0.48,0.24,0.08,0.22,0.98,0.41
google-web-toolkit.csv,0.54,0.47,0.38,0.13,0.39,0.98,0.44,0.4,0.12,0.36,0.17,0.15,0.41
gzigzag.csv,0.36,0.25,0.97,0.29,0.06,0.27,0.2,0.1,0.0,0.02,0.07,0.11,0.38
illumination.csv,0.28,0.62,0.17,0.19,0.24,0.22,0.17,0.55,0.82,0.02,0.4,0.34,0.26
jcache.csv,0.51,0.93,0.79,0.32,0.59,0.56,0.28,0.2,0.53,0.29,0.67,0.11,1.0
moast.csv,0.41,0.72,0.76,0.58,0.64,0.55,0.56,0.18,0.53,0.99,0.97,0.56,0.76
nativeclient.csv,0.72,0.72,0.69,0.61,0.71,0.75,0.67,0.8,0.76,0.34,1.0,0.59,0.62
ns-3-dev-def-routing.csv,0.33,0.46,0.1,0.45,0.42,0.21,0.96,0.35,0.06,0.87,0.16,0.64,0.21
openfrag.csv,0.87,0.99,0.62,0.35,1.0,0.61,0.73,0.62,0.65,0.96,0.76,0.72,0.74
qdvdauthor.csv,0.51,0.2,0.72,0.32,0.82,0.65,0.6,0.98,0.53,0.01,0.63,0.59,0.53
sauerbraten.csv,1.0,0.85,0.52,0.39,0.5,0.34,0.44,0.45,0.53,0.21,0.56,0.43,0.59
zoolib.csv,0.08,0.02,0.07,0.81,0.18,0.1,0.15,0.22,0.0,0.79,0.14,0.2,0.12
