,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,6.0,0.0,1.0,15.0,3.0,4.0,2.0,0.0,11.0,2.0,0.0,1.0,3.0
ftm.csv,4.0,0.0,7.0,8.0,0.0,2.0,3.0,1.0,10.0,0.0,4.0,0.0,0.0
google-web-toolkit.csv,2.0,5.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0
gzigzag.csv,2.0,2.0,0.0,21.0,1.0,3.0,1.0,0.0,81.0,0.0,7.0,2.0,21.0
illumination.csv,2.0,5.0,2.0,16.0,3.0,1.0,7.0,0.0,0.0,6.0,1.0,6.0,0.0
jcache.csv,3.0,0.0,3.0,23.0,2.0,2.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0
moast.csv,4.0,3.0,6.0,8.0,2.0,0.0,2.0,0.0,8.0,0.0,0.0,3.0,26.0
nativeclient.csv,1.0,6.0,15.0,7.0,0.0,2.0,7.0,0.0,1.0,2.0,0.0,4.0,1.0
ns-3-dev-def-routing.csv,2.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,3.0,1.0
openfrag.csv,4.0,4.0,19.0,7.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0
qdvdauthor.csv,3.0,10.0,4.0,47.0,0.0,3.0,2.0,0.0,10.0,0.0,0.0,4.0,1.0
sauerbraten.csv,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
zoolib.csv,0.0,12.0,11.0,0.0,2.0,2.0,0.0,0.0,81.0,0.0,1.0,0.0,0.0
