,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.83,0.0,0.85,0.9,0.96,0.82,0.87,0.89,0.69,0.97,0.85,0.94,0.95
ftm.csv,0.42,0.21,0.25,0.31,0.17,0.28,0.25,0.37,0.31,0.48,0.09,0.01,0.07
google-web-toolkit.csv,0.29,0.42,0.12,0.19,0.15,0.01,0.28,0.32,0.12,0.07,0.12,0.08,0.1
gzigzag.csv,0.21,0.25,0.0,0.15,0.02,0.16,0.22,0.16,0.03,0.1,0.1,0.17,0.56
illumination.csv,0.29,0.62,0.22,0.5,0.3,0.2,0.28,0.42,0.0,0.48,0.39,0.31,0.0
jcache.csv,0.46,0.76,0.7,0.45,0.38,0.48,0.37,0.32,0.32,0.17,0.53,0.18,0.0
moast.csv,0.54,0.66,0.77,0.45,0.42,0.65,0.52,0.26,0.54,0.0,0.97,0.69,0.88
nativeclient.csv,0.5,0.65,0.53,0.64,0.43,0.66,0.64,0.68,0.74,0.72,0.01,0.45,0.63
ns-3-dev-def-routing.csv,0.21,0.48,0.09,0.22,0.17,0.19,0.0,0.21,0.18,0.55,0.21,0.44,0.05
openfrag.csv,0.83,0.99,0.53,0.26,0.0,0.59,0.65,0.53,0.58,0.41,0.74,0.46,0.22
qdvdauthor.csv,0.71,0.16,0.51,0.55,0.7,0.62,0.49,0.0,0.58,0.14,0.55,0.48,0.2
sauerbraten.csv,0.0,0.72,0.32,0.33,0.32,0.3,0.44,0.26,0.31,0.03,0.35,0.34,0.12
zoolib.csv,0.0,0.03,0.13,0.0,0.11,0.08,0.13,0.37,0.05,0.03,0.17,0.17,0.0
