,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.33,1.0,0.75,0.42,0.62,0.54,0.5,0.95,0.53,0.46,0.44,0.57,0.4,0.5,0.9
biodwh.csv,0.9,0.67,0.83,0.52,0.8,0.92,0.89,0.67,0.5,0.44,0.73,0.0,0.62,0.83,0.72
brlcad.csv,0.33,0.62,0.64,0.91,0.67,0.74,0.83,0.94,0.52,0.0,0.9,0.83,0.79,0.0,0.75
delphilhlplib.csv,0.32,0.67,0.37,0.7,0.52,0.46,0.67,0.96,0.46,0.71,0.46,0.4,0.56,0.58,0.68
exordium.csv,0.3,0.72,0.42,0.72,0.6,0.4,0.6,0.9,0.62,0.65,0.67,0.68,0.47,0.5,0.73
fltk.csv,0.33,0.87,0.65,0.52,0.52,0.51,0.53,0.96,0.38,0.4,0.4,0.39,0.59,0.66,0.53
gzigzag.csv,0.35,0.67,0.65,0.74,0.62,0.55,0.83,0.94,0.56,0.83,0.62,0.6,0.56,0.52,0.91
jcache.csv,0.43,0.45,0.39,0.54,0.49,0.4,0.59,0.44,0.39,0.41,0.37,0.48,0.58,0.41,0.34
mimosa.csv,0.36,0.46,0.38,0.67,0.47,0.39,0.47,0.47,0.35,0.56,0.46,0.4,0.44,0.48,0.53
moast.csv,0.89,0.45,0.66,0.7,0.81,0.37,0.62,0.79,0.73,0.37,0.92,0.44,0.34,0.6,0.59
mptvseries.csv,0.35,0.39,0.0,0.56,0.52,0.77,0.5,0.96,0.62,0.42,0.43,0.0,0.91,0.88,0.5
ogre.csv,0.83,0.75,0.51,0.55,0.53,0.43,0.52,0.45,0.42,0.63,0.45,0.42,0.4,0.62,0.4
qdvdauthor.csv,0.92,0.49,0.73,0.54,0.59,0.67,0.5,0.64,0.41,0.57,0.46,0.55,0.55,0.59,0.61
sauerbraten.csv,0.39,0.57,0.69,0.48,0.53,0.51,0.44,0.51,0.39,0.54,0.46,0.43,0.35,0.58,0.54
zxing.csv,0.37,0.99,0.71,0.41,0.64,0.62,0.53,0.81,0.48,0.4,0.36,0.54,0.4,0.42,0.43
