,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.63,0.41,0.31,0.18,0.8,0.59,0.53,0.6,0.21,0.94,0.91,0.5,0.0
ftm.csv,0.8,0.23,0.33,0.14,0.82,0.67,0.48,0.84,0.14,0.73,0.79,0.63,0.83
google-web-toolkit.csv,0.69,0.21,0.29,0.05,0.63,0.71,0.45,0.84,0.29,0.9,0.81,0.59,0.69
gzigzag.csv,0.67,0.0,0.32,0.16,0.8,0.56,0.36,0.5,0.22,0.97,0.7,0.51,0.67
illumination.csv,0.5,0.0,0.26,0.0,0.53,0.0,0.0,1.0,0.65,0.29,0.78,0.0,0.45
jcache.csv,0.56,0.32,0.25,0.11,0.59,0.61,0.43,0.7,0.23,0.85,0.72,0.53,0.82
moast.csv,0.56,0.24,0.23,0.03,0.67,0.54,0.42,0.6,0.2,0.99,0.59,0.33,0.37
nativeclient.csv,0.7,0.31,0.26,0.12,0.61,0.59,0.42,0.71,0.19,0.9,0.78,0.52,0.78
ns-3-dev-def-routing.csv,0.63,0.25,0.27,0.17,0.81,0.61,0.53,0.79,0.17,1.0,0.6,0.58,0.77
openfrag.csv,0.68,0.25,0.27,0.17,0.82,0.65,0.51,0.74,0.14,0.91,0.75,0.48,0.45
qdvdauthor.csv,0.72,0.19,0.24,0.1,0.56,0.59,0.43,0.83,0.17,0.98,0.59,0.51,0.4
sauerbraten.csv,0.79,0.25,0.27,0.09,0.56,0.57,0.39,0.69,0.19,0.9,0.59,0.45,0.46
zoolib.csv,0.68,0.52,0.26,0.22,0.87,0.62,0.51,0.67,0.14,0.9,0.8,0.59,0.74
