,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.0,0.0,9.0,1.0,9.0,0.0,3.0,0.0,6.0,3.0,0.0,12.0,3.0,3.0,3.0,1.0,1.0,3.0,14.0,2.0
alpine.csv,2.0,0.0,3.0,2.0,12.0,0.0,1.0,1.0,0.0,0.0,10.0,168.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0
autowikibrowser.csv,0.0,1.0,29.0,7.0,5.0,0.0,2.0,0.0,1.0,8.0,33.0,0.0,18.0,27.0,3.0,7.0,0.0,14.0,0.0,2.0
critterding.csv,0.0,0.0,37.0,3.0,16.0,0.0,10.0,0.0,0.0,9.0,1.0,1.0,11.0,22.0,15.0,0.0,2.0,20.0,10.0,4.0
firebird.csv,3.0,0.0,19.0,11.0,15.0,1.0,10.0,0.0,2.0,13.0,2.0,9.0,7.0,9.0,8.0,0.0,0.0,5.0,0.0,1.0
fmri-dmt.csv,1.0,2.0,0.0,62.0,115.0,70.0,1.0,2.0,0.0,3.0,6.0,168.0,1.0,2.0,91.0,0.0,0.0,0.0,3.0,0.0
genecys.csv,2.0,0.0,47.0,9.0,4.0,0.0,2.0,0.0,1.0,10.0,3.0,11.0,10.0,31.0,23.0,0.0,4.0,6.0,8.0,6.0
hydrogen.csv,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,13.0,168.0,3.0,0.0,1.0,0.0,4.0,6.0,1.0,0.0
jcae.csv,0.0,0.0,0.0,62.0,115.0,0.0,0.0,0.0,1.0,152.0,3.0,168.0,3.0,181.0,0.0,0.0,0.0,2.0,1.0,2.0
kftpgrabber.csv,2.0,1.0,9.0,2.0,15.0,2.0,2.0,0.0,0.0,2.0,22.0,2.0,8.0,9.0,0.0,0.0,2.0,1.0,0.0,8.0
libarchive.csv,4.0,0.0,17.0,7.0,2.0,0.0,5.0,1.0,4.0,14.0,10.0,7.0,3.0,3.0,2.0,1.0,2.0,14.0,1.0,0.0
mimosa.csv,1.0,2.0,20.0,11.0,32.0,2.0,18.0,0.0,0.0,2.0,30.0,8.0,45.0,20.0,11.0,18.0,2.0,0.0,8.0,1.0
monetdb.csv,1.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,7.0,6.0,4.0,5.0,11.0,19.0,10.0,0.0,1.0,3.0,2.0,2.0
nosleepsoftware.csv,1.0,0.0,13.0,0.0,7.0,0.0,9.0,1.0,0.0,11.0,5.0,14.0,7.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0
openmsx.csv,1.0,0.0,45.0,1.0,28.0,0.0,3.0,0.0,1.0,11.0,3.0,8.0,13.0,27.0,8.0,0.0,0.0,6.0,15.0,6.0
quarkplayer.csv,1.0,2.0,87.0,1.0,2.0,70.0,2.0,183.0,1.0,9.0,1.0,0.0,7.0,181.0,91.0,52.0,0.0,67.0,15.0,3.0
riff-evolve.csv,8.0,1.0,14.0,7.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,10.0,10.0,0.0,0.0,6.0,2.0,8.0
virtuoso.csv,2.0,5.0,46.0,0.0,9.0,0.0,1.0,0.0,1.0,9.0,0.0,1.0,4.0,0.0,2.0,3.0,2.0,6.0,1.0,1.0
xined.csv,2.0,0.0,14.0,62.0,6.0,0.0,1.0,0.0,2.0,1.0,0.0,18.0,25.0,6.0,1.0,0.0,1.0,7.0,5.0,5.0
zoolib.csv,0.0,0.0,87.0,62.0,17.0,0.0,0.0,0.0,79.0,152.0,0.0,168.0,0.0,5.0,91.0,0.0,158.0,67.0,2.0,0.0
