,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.44,0.43,0.47,0.8,0.48,0.46,0.44,0.4,0.7,0.5,0.83,0.79,0.51,0.39,0.83,0.4,0.0,0.4
ardour.csv,0.42,0.33,0.34,0.6,0.5,0.51,0.43,0.38,0.55,0.36,0.42,0.57,0.38,0.37,0.86,0.32,0.38,0.36
bacnet.csv,0.49,0.43,0.4,0.53,0.51,0.51,0.69,0.42,0.59,0.86,0.46,0.55,0.57,0.41,0.45,0.38,0.4,0.83
cortex-vfx.csv,0.56,0.71,0.69,0.49,0.86,0.6,0.68,0.47,0.54,0.53,0.45,0.56,0.49,0.68,0.75,0.56,0.45,0.52
enzo.csv,0.42,0.37,0.34,0.35,0.34,0.39,0.43,0.37,0.41,0.34,0.45,0.4,0.41,0.39,0.31,0.43,0.39,0.33
growl-for-windows.csv,0.43,0.0,0.0,0.86,0.44,0.45,0.41,0.0,0.46,0.67,0.47,0.0,0.44,0.0,0.58,0.5,0.41,0.4
heekscad.csv,0.36,0.41,0.39,0.38,0.55,0.45,0.43,0.37,0.4,0.88,0.44,0.43,0.44,0.39,0.36,0.42,0.35,0.6
minig.csv,0.74,0.56,0.51,0.4,0.45,0.56,0.64,0.57,0.55,0.68,0.74,0.54,0.51,0.65,0.43,0.8,0.49,0.48
multitude.csv,0.38,0.42,0.4,0.41,0.35,0.42,0.41,0.38,0.43,0.4,0.42,0.4,0.45,0.41,0.39,0.41,0.36,0.35
natpad.csv,0.45,0.39,0.36,0.47,0.5,0.5,0.64,0.36,0.51,0.68,0.39,0.47,0.69,0.44,0.4,0.37,0.38,0.83
open-ms.csv,0.64,0.51,0.42,0.83,0.96,0.74,0.63,0.52,0.62,0.93,0.92,0.59,0.43,0.44,0.64,0.34,0.75,0.37
planeshift.csv,0.4,0.39,0.38,0.36,0.35,0.44,0.42,0.36,0.39,0.43,0.53,0.4,0.49,0.43,0.37,0.41,0.35,0.33
rocrail.csv,0.4,0.38,0.33,0.42,0.39,0.49,0.42,0.37,0.42,0.46,0.48,0.45,0.41,0.46,0.34,0.38,0.34,0.4
salasaga.csv,0.52,0.42,0.41,0.62,0.51,0.5,0.69,0.39,0.71,0.95,0.44,0.63,0.69,0.6,0.48,0.47,0.47,0.8
xcsoar.csv,0.38,0.38,0.47,0.49,0.36,0.48,0.44,0.41,0.42,0.38,0.54,0.53,0.39,0.48,0.49,0.37,0.35,0.4
xemeiah.csv,0.47,0.38,0.38,0.42,0.4,0.52,0.44,0.38,0.55,0.53,0.38,0.48,0.45,0.44,0.46,0.36,0.38,0.44
xmoto.csv,0.47,0.43,0.47,0.92,0.69,0.39,0.48,0.4,0.42,0.5,0.47,0.54,0.43,0.81,0.64,0.42,0.38,0.65
zxing.csv,0.37,0.36,0.34,0.88,0.54,0.44,0.45,0.38,0.55,0.45,0.57,0.52,0.46,0.39,0.64,0.33,0.56,0.39
