,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.46,0.63,0.04,0.57,0.66,0.6,0.68,0.0,0.58,0.58,0.38
codesmith.csv,0.51,0.43,0.46,0.29,0.49,0.27,0.5,0.45,0.6,0.67,0.03
javaprofiler.csv,0.37,0.5,0.57,0.38,0.58,0.67,0.53,0.38,0.26,0.0,0.53
jpaul.csv,0.0,0.24,0.0,0.09,0.1,0.2,0.18,0.09,0.05,0.0,0.21
jrdf.csv,0.1,0.23,0.0,0.19,0.0,0.0,0.43,0.53,0.35,0.17,0.47
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.56,0.0,0.46,0.4,0.27,0.33,0.42,0.15,0.23,0.33,0.29
synecdoche.csv,0.17,0.3,0.04,0.18,0.27,0.07,0.42,0.33,0.0,0.39,0.41
tycho.csv,0.24,0.81,0.0,0.69,0.42,0.6,0.38,0.24,0.3,0.36,0.41
unicase.csv,0.54,0.6,0.5,0.02,0.69,0.2,0.93,0.5,0.53,0.81,0.41
xcmetadataservicestoolkit.csv,0.39,0.4,0.21,0.35,0.58,0.0,0.75,0.56,0.91,0.72,0.32
