,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.62,0.69,0.53,0.56,0.64,0.61,0.59,0.64,0.55,0.48,0.73,0.61,0.05,0.91,0.47,0.75,0.41
delphilhlplib.csv,0.62,0.0,0.63,0.76,0.75,0.72,0.78,0.7,0.54,0.69,0.87,0.86,0.67,0.66,0.55,0.7,0.67
exordium.csv,0.58,0.66,0.82,0.0,0.64,0.92,0.71,0.71,0.59,0.68,0.81,0.71,0.83,1.02,0.61,0.76,0.38
fltk.csv,0.36,0.63,0.02,0.64,0.61,0.57,0.62,0.64,0.71,0.59,0.65,0.75,0.68,0.35,0.53,0.56,0.49
genoviz.csv,1.0,0.98,1.0,1.0,0.93,0.95,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.0
gzigzag.csv,0.51,0.77,0.82,0.79,0.14,0.74,0.73,0.7,0.7,0.78,0.88,0.86,0.85,1.0,0.83,0.89,0.43
irrlicht.csv,0.75,0.94,0.71,0.82,0.68,0.9,0.49,0.06,1.0,0.74,0.87,0.95,0.73,0.21,0.8,0.7,0.54
moast.csv,1.0,0.84,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96
mptvseries.csv,0.44,0.79,0.7,0.55,0.67,0.05,0.66,0.82,0.8,0.77,0.78,0.82,0.75,0.95,0.54,0.86,0.09
openfrag.csv,0.88,0.6,0.61,0.65,0.63,0.51,0.91,0.68,0.79,0.67,0.71,0.05,0.58,0.41,0.69,0.49,0.76
qse.csv,0.58,0.49,0.57,0.48,0.6,0.73,0.63,0.77,0.03,0.51,0.47,0.72,0.67,1.04,0.56,0.65,0.65
sauerbraten.csv,0.08,0.79,0.62,0.61,0.57,0.87,0.62,0.74,0.77,0.7,0.84,0.76,0.77,0.89,0.65,0.93,0.74
toped.csv,0.88,0.83,0.7,0.74,0.8,0.75,0.0,0.76,0.59,0.72,0.83,0.92,0.51,0.89,0.79,0.86,1.11
truevision.csv,0.65,0.86,0.51,0.55,0.87,0.47,0.63,0.71,0.58,0.01,0.69,0.5,0.64,0.9,0.41,0.68,0.8
uwom.csv,0.66,0.93,0.61,0.51,0.68,0.45,0.71,0.68,0.55,0.66,0.75,0.75,0.64,0.76,0.04,0.7,0.7
zoolib.csv,0.95,0.98,0.92,0.84,1.0,0.9,0.97,0.96,0.77,0.97,0.16,0.94,0.97,0.97,0.96,0.98,1.0
zxing.csv,0.73,0.83,0.7,0.68,0.75,0.62,0.55,0.7,0.94,0.6,0.65,0.83,0.57,0.84,0.42,0.0,0.66
