,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.54,0.11,0.38,0.2,0.38,0.55,0.44,0.29,0.43,0.34,0.16,0.25,0.02,0.17,0.32,0.18,0.36
delphilhlplib.csv,0.46,0.0,0.54,0.75,0.73,0.65,0.78,0.63,0.51,0.66,0.87,0.85,0.62,0.66,0.52,0.65,0.67
exordium.csv,0.21,0.22,0.05,0.0,0.33,0.19,0.44,0.25,0.3,0.24,0.22,0.06,0.25,0.52,0.17,0.12,0.38
fltk.csv,0.12,0.22,0.01,0.36,0.32,0.23,0.44,0.16,0.02,0.27,0.1,0.11,0.22,0.34,0.26,0.06,0.29
genoviz.csv,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
gzigzag.csv,0.17,0.17,0.1,0.09,0.01,0.39,0.11,0.22,0.4,0.32,0.11,0.15,0.04,0.38,0.12,0.0,0.16
irrlicht.csv,0.75,0.78,0.47,0.82,0.34,0.52,0.33,0.06,1.0,0.72,0.82,0.94,0.33,0.0,0.6,0.59,0.36
moast.csv,1.0,0.83,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96
mptvseries.csv,0.29,0.22,0.1,0.14,0.12,0.0,0.11,0.14,0.04,0.08,0.11,0.04,0.18,0.34,0.11,0.0,0.09
openfrag.csv,0.88,0.39,0.37,0.64,0.58,0.35,0.89,0.53,0.77,0.59,0.4,0.0,0.55,0.41,0.59,0.41,0.73
qse.csv,0.54,0.39,0.26,0.36,0.25,0.26,0.56,0.16,0.0,0.18,0.2,0.23,0.2,0.48,0.4,0.06,0.62
sauerbraten.csv,0.0,0.28,0.29,0.18,0.25,0.23,0.44,0.31,0.06,0.15,0.1,0.09,0.15,0.14,0.17,0.18,0.62
toped.csv,0.88,0.44,0.59,0.71,0.11,0.74,0.0,0.59,0.15,0.34,0.8,0.89,0.44,0.03,0.58,0.0,0.49
truevision.csv,0.62,0.83,0.37,0.41,0.84,0.29,0.56,0.29,0.11,0.01,0.13,0.26,0.29,0.9,0.25,0.65,0.69
uwom.csv,0.38,0.78,0.23,0.29,0.52,0.32,0.44,0.29,0.47,0.2,0.11,0.08,0.33,0.66,0.0,0.0,0.58
zoolib.csv,0.0,0.0,0.04,0.04,0.05,0.06,0.11,0.1,0.02,0.0,0.0,0.02,0.0,0.03,0.02,0.0,0.02
zxing.csv,0.62,0.33,0.68,0.54,0.55,0.45,0.33,0.45,0.0,0.39,0.58,0.75,0.45,0.62,0.25,0.0,0.27
