,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,2.0,1.0,3.0,3.0,11.0,5.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,9.0
delphilhlplib.csv,1.0,0.0,1.0,8.0,0.0,6.0,0.0,0.0,4.0,11.0,15.0,2.0,1.0,0.0,1.0,4.0,14.0
exordium.csv,3.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,3.0,11.0,16.0,0.0,7.0,1.0,12.0,0.0,3.0
fltk.csv,0.0,2.0,0.0,6.0,14.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,0.0,8.0
genoviz.csv,62.0,0.0,236.0,74.0,0.0,0.0,59.0,223.0,0.0,108.0,360.0,118.0,121.0,257.0,4.0,72.0,0.0
gzigzag.csv,1.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,6.0,0.0,14.0,1.0,2.0,3.0,19.0,0.0,1.0
irrlicht.csv,2.0,5.0,1.0,15.0,12.0,11.0,0.0,0.0,7.0,17.0,21.0,3.0,0.0,0.0,11.0,0.0,9.0
moast.csv,6.0,0.0,3.0,14.0,9.0,6.0,0.0,0.0,7.0,1.0,15.0,3.0,1.0,0.0,41.0,0.0,26.0
mptvseries.csv,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0
openfrag.csv,4.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,14.0,20.0,4.0,0.0,1.0,0.0,26.0,0.0,24.0
qse.csv,3.0,1.0,1.0,11.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,17.0,0.0,18.0
sauerbraten.csv,0.0,1.0,0.0,6.0,4.0,3.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,3.0,18.0
toped.csv,6.0,7.0,3.0,10.0,3.0,6.0,0.0,0.0,2.0,0.0,15.0,3.0,1.0,0.0,27.0,0.0,49.0
truevision.csv,3.0,1.0,1.0,6.0,1.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,21.0
uwom.csv,3.0,1.0,1.0,5.0,22.0,1.0,0.0,0.0,9.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,18.0
zoolib.csv,0.0,0.0,0.0,2.0,121.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,49.0
zxing.csv,2.0,1.0,2.0,5.0,1.0,5.0,0.0,0.0,0.0,2.0,9.0,2.0,1.0,0.0,19.0,0.0,11.0
