,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.63,0.76,0.87,0.56,0.61,0.76,0.36,0.77,0.79,0.47,0.72,0.59,0.33,0.41,0.39,0.55,0.74
delphilhlplib.csv,0.92,0.34,0.58,0.51,0.69,0.48,0.42,0.58,0.46,0.54,0.39,0.54,0.57,0.66,0.56,0.51,0.78
exordium.csv,0.96,0.46,0.58,0.38,0.68,0.75,0.58,0.64,0.63,0.49,0.81,0.52,0.66,0.5,0.6,0.65,0.62
fltk.csv,0.64,0.71,0.4,0.54,0.7,0.52,0.49,0.62,0.48,0.65,0.87,0.48,0.54,0.83,0.34,0.59,0.49
genoviz.csv,0.85,0.66,0.95,0.89,0.71,0.95,0.88,0.92,0.94,0.97,1.0,0.92,0.97,0.91,0.83,1.0,0.11
gzigzag.csv,0.55,0.74,0.82,0.69,0.51,0.75,0.73,0.78,0.6,0.82,0.91,0.76,0.73,1.04,0.55,0.7,0.65
irrlicht.csv,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.58,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
moast.csv,0.76,0.84,0.64,0.73,0.86,0.85,1.0,0.72,1.0,0.83,0.89,0.57,0.87,0.08,0.94,0.78,0.7
mptvseries.csv,0.54,0.98,0.65,0.55,0.7,0.41,0.56,0.78,0.49,0.59,0.69,0.79,0.69,1.0,0.51,0.65,0.43
openfrag.csv,0.79,0.84,0.6,0.49,0.71,0.37,0.46,0.56,0.49,0.5,0.7,0.35,0.42,0.83,0.4,0.5,0.91
qse.csv,0.68,0.72,0.62,0.5,0.74,0.45,0.67,0.68,0.27,0.54,0.53,0.68,0.65,0.9,0.54,0.52,0.84
sauerbraten.csv,0.39,0.96,0.97,0.86,0.83,0.97,0.89,0.83,1.0,0.97,0.79,0.98,0.64,0.76,0.6,0.91,1.18
toped.csv,0.88,0.95,0.96,0.77,0.96,0.69,0.19,0.85,0.81,0.62,0.69,0.7,0.57,0.83,0.65,0.89,0.98
truevision.csv,0.96,0.69,0.51,0.82,0.68,0.42,0.61,0.65,0.36,0.37,0.49,0.52,0.62,0.93,0.5,0.53,0.78
uwom.csv,0.64,0.72,0.51,0.48,0.56,0.61,0.87,0.69,0.86,0.51,0.64,0.64,0.64,0.94,0.31,0.66,0.59
zoolib.csv,0.59,0.69,0.62,0.47,0.68,0.47,0.56,0.65,0.74,0.68,0.41,0.76,0.58,0.69,0.38,0.86,0.47
zxing.csv,0.63,0.85,0.61,0.7,0.62,0.53,0.5,0.67,0.77,0.56,0.84,0.74,0.64,1.24,0.44,0.42,0.49
