,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.8,0.54,0.75,0.49,0.44,0.51,0.9,0.75,0.62,0.6,0.22,0.65,0.79,0.96,0.55,0.64,0.17
delphilhlplib.csv,0.76,0.91,0.56,0.53,0.36,0.65,0.77,0.63,0.67,0.56,0.31,0.6,0.6,0.96,0.44,0.66,0.22
exordium.csv,0.76,0.8,0.57,0.58,0.38,0.58,0.87,0.73,0.54,0.56,0.18,0.64,0.68,0.9,0.44,0.52,0.26
fltk.csv,0.77,0.51,0.74,0.45,0.36,0.56,0.71,0.66,0.7,0.45,0.16,0.65,0.6,0.95,0.58,0.67,0.31
genoviz.csv,0.26,0.61,0.1,0.19,0.33,0.09,0.21,0.15,0.11,0.05,0.0,0.14,0.06,0.17,0.27,0.0,0.67
gzigzag.csv,0.74,0.41,0.3,0.44,0.46,0.34,0.5,0.37,0.57,0.3,0.08,0.38,0.4,0.26,0.42,0.47,0.22
irrlicht.csv,0.76,0.85,0.73,0.4,0.38,0.55,0.92,0.77,0.6,0.52,0.16,0.71,0.71,0.94,0.0,0.87,0.18
moast.csv,0.39,0.39,0.56,0.3,0.39,0.27,0.92,0.47,0.6,0.27,0.09,0.59,0.3,0.98,0.19,0.49,0.21
mptvseries.csv,0.72,0.04,0.49,0.5,0.38,0.65,0.61,0.37,0.63,0.53,0.24,0.34,0.45,0.01,0.44,0.52,0.31
openfrag.csv,0.78,0.84,0.72,0.52,0.36,0.68,0.9,0.75,0.67,0.56,0.2,0.76,0.72,0.92,0.52,0.68,0.16
qse.csv,0.7,0.63,0.72,0.49,0.39,0.62,0.91,0.72,0.78,0.52,0.22,0.47,0.54,0.95,0.42,0.8,0.15
sauerbraten.csv,0.79,0.66,0.72,0.42,0.39,0.56,0.89,0.82,0.6,0.51,0.15,0.7,0.76,0.95,0.45,0.77,0.04
toped.csv,0.79,0.82,0.73,0.45,0.37,0.6,0.91,0.84,0.64,0.48,0.16,0.7,0.74,0.94,0.4,0.84,0.19
truevision.csv,0.76,0.72,0.72,0.45,0.35,0.65,0.81,0.72,0.72,0.67,0.26,0.62,0.64,0.94,0.5,0.64,0.19
uwom.csv,0.77,0.47,0.65,0.55,0.45,0.56,0.24,0.73,0.24,0.56,0.24,0.52,0.75,0.12,0.61,0.5,0.24
zoolib.csv,0.8,0.66,0.53,0.51,0.36,0.67,0.68,0.54,0.4,0.41,0.34,0.38,0.57,0.95,0.55,0.25,0.29
zxing.csv,0.61,0.56,0.65,0.35,0.38,0.56,0.74,0.54,0.37,0.52,0.1,0.4,0.51,0.27,0.55,0.82,0.28
