,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.31,0.59,0.41,0.5,0.39,0.39,0.34,0.48,0.48,0.39,0.98,0.44,0.48,0.41,0.57,0.47,0.35
delphilhlplib.csv,0.32,0.4,0.69,0.51,0.44,0.67,0.4,0.59,0.59,0.69,0.88,0.65,0.55,0.39,0.43,0.5,0.38
exordium.csv,0.33,0.45,0.61,0.62,0.39,0.38,0.33,0.56,0.85,0.59,0.56,0.46,0.44,0.45,0.46,0.62,0.36
fltk.csv,0.33,0.65,0.53,0.53,0.5,0.53,0.39,0.6,0.49,0.71,0.95,0.6,0.59,0.39,0.58,0.54,0.52
genoviz.csv,0.86,0.57,0.86,0.5,0.72,0.67,0.83,0.94,0.5,0.0,0.0,0.8,0.5,0.95,0.98,0.0,0.7
gzigzag.csv,0.33,0.62,0.71,0.88,0.49,0.6,0.52,0.64,0.71,0.89,0.88,0.89,0.63,0.56,0.51,0.57,0.34
irrlicht.csv,0.33,0.38,0.42,0.41,0.39,0.34,0.32,0.51,0.43,0.38,0.49,0.43,0.39,0.38,0.0,0.36,0.32
moast.csv,0.88,0.7,0.72,0.85,0.38,0.72,0.32,0.89,0.43,0.97,0.98,0.78,0.87,0.43,0.53,0.59,0.35
mptvseries.csv,0.36,0.5,0.61,0.53,0.89,0.48,0.42,0.6,0.5,0.77,0.86,0.81,0.51,0.0,0.45,0.57,0.38
openfrag.csv,0.32,0.41,0.41,0.52,0.47,0.47,0.33,0.49,0.53,0.46,0.73,0.5,0.46,0.41,0.49,0.6,0.36
qse.csv,0.34,0.56,0.45,0.55,0.46,0.55,0.33,0.54,0.5,0.42,0.66,0.57,0.51,0.39,0.54,0.41,0.36
sauerbraten.csv,0.38,0.52,0.43,0.45,0.45,0.35,0.33,0.48,0.43,0.39,0.52,0.43,0.44,0.39,0.49,0.41,0.38
toped.csv,0.33,0.41,0.43,0.49,0.41,0.42,0.36,0.49,0.47,0.59,0.74,0.55,0.51,0.4,0.51,0.39,0.33
truevision.csv,0.33,0.47,0.52,0.43,0.51,0.56,0.35,0.53,0.56,0.49,0.74,0.65,0.5,0.39,0.46,0.55,0.39
uwom.csv,0.33,0.7,0.58,0.53,0.64,0.42,0.88,0.51,0.83,0.64,0.99,0.81,0.43,0.94,0.59,0.7,0.38
zoolib.csv,0.33,0.56,0.72,0.53,0.47,0.73,0.39,0.69,0.9,0.64,0.99,0.89,0.59,0.39,0.54,0.89,0.57
zxing.csv,0.36,0.65,0.42,0.53,0.63,0.5,0.34,0.45,0.88,0.33,0.54,0.52,0.46,0.52,0.6,0.39,0.5
