,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.55,0.45,0.53,0.76,0.25,0.68,0.11,0.96,0.34,0.75,0.53
codesmith.csv,0.3,0.42,0.57,0.73,0.51,0.68,0.15,0.49,0.58,0.64,1.0
javaprofiler.csv,0.26,0.4,0.6,0.36,0.32,0.71,0.06,0.6,0.48,1.0,0.5
jpaul.csv,1.0,0.39,0.23,0.26,0.33,0.35,0.15,0.41,0.0,0.38,0.25
jrdf.csv,0.62,0.31,0.16,0.39,0.9,0.44,0.2,0.16,0.16,0.16,0.21
mecat.csv,0.0,0.1,0.0,0.19,0.0,0.14,1.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.33,0.99,0.35,0.45,0.14,0.48,0.11,0.1,0.49,0.64,0.48
synecdoche.csv,0.55,0.35,0.43,0.66,0.34,0.4,0.08,0.3,1.0,0.58,0.76
tycho.csv,0.07,0.5,1.0,0.75,0.19,0.58,0.21,0.38,0.51,0.45,0.17
unicase.csv,0.43,0.46,0.58,0.99,0.36,0.7,0.1,0.37,0.53,0.51,0.54
xcmetadataservicestoolkit.csv,0.35,0.43,0.12,0.7,0.18,0.99,0.12,0.53,0.58,0.7,0.39
