,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.54,0.51,0.59,0.46,0.43,0.41,0.42,0.69,0.58,0.54,0.57
codesmith.csv,0.57,0.5,0.47,0.48,0.5,0.5,0.42,0.5,0.41,0.45,0.44
javaprofiler.csv,0.83,0.5,0.42,0.81,0.4,0.38,0.52,0.45,0.38,0.48,0.53
jpaul.csv,0.65,0.76,0.88,0.99,0.81,0.82,0.48,0.68,0.0,0.8,0.74
jrdf.csv,0.75,0.67,0.67,0.71,0.86,0.71,0.59,0.88,0.88,0.91,0.73
mecat.csv,0.0,0.5,0.0,0.98,0.0,0.67,0.67,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.89,0.78,0.82,0.7,0.71,0.67,0.53,0.95,0.83,0.52,0.78
synecdoche.csv,0.48,0.68,0.56,0.47,0.79,0.73,0.37,0.76,0.62,0.6,0.37
tycho.csv,0.92,0.55,0.54,0.5,0.83,0.55,0.75,0.68,0.5,0.71,0.83
unicase.csv,0.51,0.5,0.52,0.44,0.36,0.41,0.34,0.48,0.4,0.51,0.61
xcmetadataservicestoolkit.csv,0.61,0.57,0.93,0.47,0.69,0.41,0.4,0.6,0.47,0.49,0.68
