,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.94,0.65,0.57,0.77,0.6,0.65,0.67,0.98,0.31,0.72,0.48
codesmith.csv,0.47,0.57,0.69,0.65,0.67,0.57,1.0,0.78,0.79,0.64,1.0
javaprofiler.csv,0.18,0.49,0.77,0.24,0.73,0.72,0.33,0.95,0.79,1.0,0.42
jpaul.csv,1.0,0.38,0.14,0.16,0.4,0.22,0.67,0.32,0.0,0.24,0.17
jrdf.csv,0.53,0.27,0.09,0.25,0.87,0.3,0.67,0.1,0.1,0.09,0.14
mecat.csv,0.0,0.05,0.0,0.11,0.0,0.08,1.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.35,0.97,0.29,0.33,0.2,0.35,0.67,0.07,0.45,0.63,0.38
synecdoche.csv,0.65,0.32,0.31,0.58,0.33,0.28,0.67,0.29,1.0,0.48,0.83
tycho.csv,0.06,0.76,1.0,0.77,0.13,0.45,0.67,0.29,0.59,0.31,0.09
unicase.csv,0.71,0.65,0.51,1.0,0.87,0.65,1.0,0.54,0.83,0.47,0.45
xcmetadataservicestoolkit.csv,0.41,0.49,0.09,0.65,0.27,0.98,1.0,0.63,0.79,0.73,0.3
