,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.91,0.67,0.95,0.42,0.36,0.47,0.34,0.64,0.39,0.41,0.58
codesmith.csv,0.8,0.64,0.38,0.63,0.54,0.44,0.49,0.53,0.46,0.53,0.47
javaprofiler.csv,0.44,0.41,0.41,0.44,0.35,0.35,0.44,0.46,0.4,0.49,0.46
jpaul.csv,0.44,0.92,0.0,0.86,0.5,0.83,0.0,0.75,0.0,0.72,0.77
jrdf.csv,0.67,0.94,0.0,0.6,0.6,0.91,0.37,0.8,0.92,0.78,0.55
mecat.csv,0.67,0.9,0.0,0.6,0.91,0.78,0.82,0.0,0.91,0.9,0.0
neodatis-odb.csv,0.48,0.76,0.47,0.45,0.89,0.47,0.62,0.69,0.4,0.56,0.93
synecdoche.csv,0.41,0.45,0.43,0.4,0.71,0.61,0.35,0.76,0.55,0.75,0.42
tycho.csv,0.93,0.62,0.53,0.56,0.9,0.65,0.92,0.94,0.93,0.68,0.86
unicase.csv,0.47,0.41,0.61,0.42,0.38,0.38,0.36,0.46,0.39,0.41,0.5
xcmetadataservicestoolkit.csv,0.49,0.51,0.67,0.43,0.77,0.39,0.33,0.86,0.57,0.51,0.73
