,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.13,0.72,0.0,0.74,0.64,0.49,0.36,0.2,0.38,0.33,0.55,0.55,0.24
flylinkdc.csv,0.0,0.03,0.18,0.45,0.19,0.35,0.07,0.22,0.42,0.33,0.18,0.27,0.3
fw4spl.csv,0.17,0.05,0.57,0.0,0.0,0.24,0.36,0.31,0.17,0.44,0.18,0.48,0.26
grisbi.csv,0.7,0.87,0.49,0.9,0.87,0.73,0.0,0.78,0.82,0.67,0.71,0.65,0.8
mesa3d.csv,0.38,0.31,0.19,0.19,0.32,0.38,0.43,0.2,0.2,0.2,0.29,0.02,0.07
nuttx.csv,0.65,0.0,0.44,0.74,0.69,0.41,0.57,0.32,0.55,0.21,0.27,0.28,0.43
panda3d.csv,0.32,0.21,0.11,0.03,0.12,0.62,0.36,0.45,0.37,0.01,0.26,0.26,0.17
proftp.csv,0.33,0.18,0.33,0.58,0.43,0.0,0.14,0.01,0.3,0.29,0.15,0.19,0.37
qmmp.csv,0.48,0.18,0.22,0.45,0.47,0.41,0.36,0.59,0.43,0.37,0.02,0.31,0.43
skia.csv,0.05,0.1,0.5,0.35,0.19,0.22,0.0,0.26,0.15,0.18,0.47,0.15,0.02
tart.csv,0.0,0.0,0.01,0.03,0.0,0.05,0.0,0.03,0.0,0.0,0.05,0.0,0.0
tcvp.csv,0.15,0.08,0.04,0.19,0.03,0.16,0.21,0.0,0.16,0.04,0.26,0.06,0.2
utgb.csv,0.12,0.13,0.14,0.0,0.1,0.03,0.0,0.0,0.1,0.13,0.02,0.13,0.09
