,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.56,0.57,0.39,0.7,0.58,0.8,0.45,0.0,0.56,0.53,0.62
codesmith.csv,0.49,0.49,0.39,0.28,0.49,0.07,0.37,0.55,0.67,0.69,0.0
javaprofiler.csv,0.37,0.61,0.82,0.52,0.83,0.87,0.72,0.67,0.72,0.0,0.65
jpaul.csv,0.0,0.29,0.11,0.08,0.07,0.07,0.28,0.33,0.12,0.06,0.24
jrdf.csv,0.12,0.37,0.07,0.34,0.02,0.2,0.75,0.03,0.12,0.22,0.59
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.32,0.0,0.64,0.28,0.42,0.67,0.5,0.21,0.19,0.33,0.35
synecdoche.csv,0.17,0.37,0.18,0.3,0.27,0.13,0.32,0.48,0.0,0.33,0.26
tycho.csv,0.46,0.64,0.0,0.78,0.31,0.2,0.47,0.11,0.23,0.56,0.35
unicase.csv,0.59,0.37,0.0,0.03,0.83,0.4,0.9,0.33,0.4,0.89,0.47
xcmetadataservicestoolkit.csv,0.54,0.67,0.86,0.56,0.47,0.07,0.98,0.71,0.53,0.67,0.56
