,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.57,0.67,0.6,0.75,0.67,0.88,0.56,0.05,0.81,0.59,0.78
codesmith.csv,0.81,0.77,0.77,0.56,0.56,0.5,0.5,0.73,0.68,0.83,0.02
javaprofiler.csv,0.37,0.71,0.85,0.69,0.83,0.9,0.79,0.72,0.75,0.01,0.78
jpaul.csv,0.0,0.71,0.75,0.88,0.74,0.73,0.44,0.72,0.94,0.83,0.86
jrdf.csv,0.37,0.77,0.8,0.62,0.07,0.7,0.75,0.93,0.9,0.61,0.92
mecat.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
neodatis-odb.csv,0.83,0.0,0.79,0.79,0.68,0.85,0.6,0.51,0.92,0.55,0.69
synecdoche.csv,0.56,0.75,0.85,0.63,0.6,0.76,0.74,0.86,0.07,0.64,0.61
tycho.csv,0.84,0.88,0.0,0.81,0.86,0.68,0.57,0.93,0.51,0.78,0.87
unicase.csv,0.79,0.63,1.0,0.03,0.85,0.57,0.9,0.63,0.74,1.02,0.87
xcmetadataservicestoolkit.csv,0.75,0.75,0.92,0.6,0.71,0.07,0.98,0.88,0.66,0.75,0.72
