,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.62,0.38,0.2,0.37,0.3,0.19,0.11,0.23,0.05,0.5,0.87,0.24
echongl.csv,0.5,0.31,0.48,0.51,0.34,0.36,0.85,0.09,0.13,0.3,0.28,0.41
hazelcast.csv,0.69,0.96,0.49,0.6,0.5,0.59,0.56,0.7,0.54,0.64,0.59,0.58
japano.csv,0.51,0.28,0.31,0.45,0.72,0.4,0.35,0.31,0.17,0.38,0.29,0.39
jmol.csv,0.36,0.0,0.45,0.32,0.0,0.67,0.0,0.0,0.55,0.24,0.17,0.37
mobicents.csv,0.72,0.58,0.57,0.67,0.45,0.0,0.0,0.55,0.56,0.61,0.61,0.59
nunit.csv,0.48,0.71,0.14,0.59,0.49,0.55,0.33,0.48,0.57,0.2,0.6,0.67
openefm.csv,0.72,0.33,0.62,0.58,0.45,0.19,0.24,0.34,0.55,0.24,0.29,0.25
snakeyaml.csv,0.18,0.24,0.15,0.26,0.18,0.43,0.06,0.7,0.24,0.13,0.41,0.24
trackit.csv,0.07,0.35,0.7,0.13,0.13,0.27,0.06,0.05,0.5,0.04,0.0,0.33
unicase.csv,0.61,0.64,0.52,0.67,0.0,0.58,0.62,0.13,0.58,0.74,0.41,0.64
wheat.csv,0.59,0.68,0.45,0.61,0.43,0.38,0.35,0.62,0.66,0.32,0.74,0.58
