,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.58,0.68,0.83,0.71,0.85,0.88,0.91,0.81,0.96,0.66,0.21,0.82
echongl.csv,0.77,1.02,0.76,0.73,0.94,0.75,0.23,0.94,0.9,0.92,0.87,0.85
hazelcast.csv,0.66,0.05,0.84,0.75,0.79,0.73,0.7,0.67,0.78,0.64,0.76,0.74
japano.csv,0.81,1.02,0.93,0.87,0.43,0.89,0.95,0.93,0.96,0.94,1.05,0.83
jmol.csv,0.92,1.01,0.86,0.91,1.0,0.53,1.0,1.0,0.6,0.95,0.97,0.9
mobicents.csv,0.57,0.48,0.63,0.47,0.78,1.01,1.0,0.54,0.63,0.53,0.74,0.61
nunit.csv,0.66,0.37,0.9,0.57,0.69,0.77,0.76,0.6,0.75,0.84,0.72,0.42
openefm.csv,0.4,0.92,0.7,0.76,0.61,0.87,0.85,0.73,0.52,0.82,0.75,0.86
snakeyaml.csv,0.87,0.8,0.88,0.79,0.86,0.72,0.95,0.37,0.84,0.9,0.73,0.8
trackit.csv,0.96,0.72,0.47,0.93,0.89,0.86,0.95,0.96,0.79,1.0,1.01,0.8
unicase.csv,0.7,0.59,0.77,0.64,1.04,0.74,0.5,0.97,0.64,0.46,0.88,0.67
wheat.csv,0.61,0.44,0.64,0.6,0.79,0.68,0.93,0.67,0.44,0.74,0.38,0.61
