,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.41,0.95,0.78,0.61,0.89,0.73,0.9,0.62,1.0,0.76,0.44,0.22
echongl.csv,0.3,0.71,0.61,0.5,0.91,0.82,0.92,0.07,0.5,0.72,0.08,0.15
hazelcast.csv,0.41,1.0,0.62,0.56,0.92,0.83,0.73,0.18,0.53,0.77,0.15,0.22
japano.csv,0.32,0.76,0.61,0.44,0.97,0.8,0.65,0.12,0.53,0.61,0.06,0.15
jmol.csv,0.29,0.82,0.62,0.51,0.93,0.88,0.72,0.13,0.62,0.71,0.12,0.21
mobicents.csv,0.43,0.97,0.69,0.68,0.92,0.8,0.71,0.24,0.59,0.82,0.16,0.26
nunit.csv,0.38,0.95,0.5,0.61,0.94,0.82,0.72,0.24,0.55,0.78,0.15,0.43
openefm.csv,0.55,0.83,0.67,0.54,0.98,0.76,0.64,0.18,0.82,0.76,0.4,0.14
snakeyaml.csv,0.28,1.0,0.71,0.63,0.95,0.82,0.83,0.38,0.46,0.86,0.13,0.47
trackit.csv,0.13,0.89,0.77,0.3,1.0,0.73,0.71,0.2,0.5,0.24,0.0,0.17
unicase.csv,0.36,0.88,0.62,0.58,0.91,0.83,0.84,0.13,0.59,0.84,0.15,0.25
wheat.csv,0.39,0.92,0.74,0.59,0.92,0.94,0.69,0.15,0.75,0.8,0.29,0.25
