,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.52,0.59,0.38,0.38,0.4,0.92,0.34,0.5,0.35,0.5,0.35,0.4,0.39,0.36
flylinkdc.csv,0.51,0.42,0.54,0.34,0.47,0.62,0.39,0.47,0.71,0.42,0.42,0.5,0.56,0.88
grisbi.csv,0.4,0.43,0.44,0.33,0.43,0.32,0.39,0.36,0.31,0.35,0.37,0.45,0.37,0.36
jaolt.csv,0.5,0.51,0.48,0.32,0.46,0.45,0.38,0.43,0.35,0.43,0.91,0.48,0.77,0.43
maidsafe-dht.csv,0.94,0.71,0.57,0.35,0.44,0.33,0.48,0.38,0.26,0.5,0.0,0.57,0.59,0.34
mimosa.csv,0.5,0.38,0.46,0.4,0.59,0.34,0.42,0.56,0.5,0.39,0.37,0.49,0.42,0.53
n2cms.csv,0.38,0.54,0.37,0.34,0.46,0.57,0.36,0.39,0.27,0.42,0.49,0.4,0.39,0.36
nassp.csv,0.79,0.83,0.89,0.5,0.56,0.91,0.43,0.82,0.62,0.93,0.0,0.54,0.92,0.8
nug.csv,0.94,0.51,0.83,0.65,0.88,0.56,0.64,0.67,0.0,0.77,0.75,0.87,0.82,0.74
quantlib.csv,0.36,0.96,0.67,0.37,0.51,0.91,0.36,0.93,0.35,0.0,0.0,0.0,0.55,0.0
red5.csv,0.39,0.38,0.4,0.4,0.44,0.41,0.35,0.37,0.55,0.34,0.36,0.42,0.37,0.35
super-tux.csv,0.37,0.64,0.44,0.49,0.46,0.47,0.46,0.42,0.5,0.37,0.36,0.44,0.35,0.31
tcvp.csv,0.86,0.88,0.5,0.0,0.95,0.5,0.67,0.0,0.0,0.5,0.65,0.0,0.67,0.5
zxing.csv,0.35,0.47,0.4,0.3,0.44,0.65,0.38,0.37,0.34,0.41,0.5,0.48,0.66,0.41
