,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.3,0.18,0.53,0.81,0.49,0.07,0.89,0.33,0.43,0.21,0.82,0.2,0.63,0.24
flylinkdc.csv,0.23,0.85,0.33,0.58,0.18,0.38,0.76,0.6,0.0,0.83,0.51,0.2,0.32,0.41
grisbi.csv,0.71,0.66,0.6,0.83,0.74,0.97,0.8,1.0,0.14,0.97,0.84,0.4,0.85,0.88
jaolt.csv,0.19,0.53,0.27,0.67,0.13,0.52,0.52,0.6,0.07,0.41,0.14,0.2,0.14,0.35
maidsafe-dht.csv,0.09,0.2,0.23,0.61,0.41,0.83,0.39,0.67,0.29,0.17,0.0,0.0,0.34,0.53
mimosa.csv,0.57,0.93,0.78,0.92,0.72,0.76,0.87,0.21,0.71,0.76,0.99,0.8,0.89,0.76
n2cms.csv,0.71,0.23,0.42,0.75,0.13,0.14,0.72,0.48,0.36,0.31,0.45,0.2,0.57,0.24
nassp.csv,0.1,0.16,0.08,0.33,0.08,0.17,0.28,0.21,0.0,0.07,0.01,0.2,0.05,0.18
nug.csv,0.1,0.51,0.08,0.28,0.13,0.28,0.41,0.02,0.0,0.31,0.28,0.2,0.36,0.53
quantlib.csv,1.0,0.22,0.03,1.0,0.28,0.17,1.0,0.17,1.0,0.0,0.0,0.0,0.33,0.06
red5.csv,0.82,0.96,0.75,0.83,0.79,0.38,0.98,0.9,0.93,0.79,1.0,0.4,0.81,0.71
super-tux.csv,0.94,0.32,0.68,0.61,0.85,0.41,0.57,0.71,1.0,0.62,0.97,0.0,0.88,0.59
tcvp.csv,0.06,0.07,0.02,0.0,0.1,0.0,0.07,0.0,0.0,0.03,0.24,0.0,0.03,0.06
zxing.csv,0.62,0.54,0.62,0.67,0.26,0.34,0.76,0.93,0.5,0.52,0.38,0.2,0.26,0.18
