,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.7,0.37,0.64,0.53,0.7,0.27,0.38,0.3,0.67,0.4,0.39,0.74,0.52,0.6
flylinkdc.csv,0.71,0.44,0.59,0.59,0.46,0.51,0.59,0.73,0.31,0.46,0.54,0.44,0.56,0.35
grisbi.csv,0.63,0.58,0.7,0.43,0.55,0.13,0.56,0.0,0.85,0.13,0.49,0.82,0.46,0.4
jaolt.csv,0.61,0.6,0.66,0.39,0.4,0.56,0.72,0.77,0.68,0.62,0.13,0.31,0.43,0.67
maidsafe-dht.csv,0.26,0.37,0.66,0.49,0.57,0.46,0.59,0.5,0.83,0.47,0.0,0.34,0.24,0.7
mimosa.csv,0.59,0.27,0.54,0.3,0.51,0.59,0.4,0.83,0.48,0.52,0.05,0.51,0.33,0.38
n2cms.csv,0.61,0.74,0.68,0.4,0.44,0.45,0.63,0.48,0.82,0.56,0.46,0.49,0.51,0.64
nassp.csv,0.43,0.29,0.34,0.39,0.33,0.17,0.81,0.25,0.37,0.21,0.0,0.3,0.38,0.25
nug.csv,0.26,0.61,0.09,0.75,0.04,0.48,0.52,0.06,0.02,0.27,0.37,0.35,0.24,0.28
quantlib.csv,0.0,0.18,0.09,0.0,0.4,0.17,0.0,0.21,0.0,0.0,0.0,0.0,0.73,0.0
red5.csv,0.52,0.17,0.58,0.51,0.54,0.68,0.09,0.34,0.23,0.53,0.0,0.82,0.51,0.55
super-tux.csv,0.23,0.35,0.67,0.64,0.44,0.57,0.65,0.36,0.0,0.55,0.13,0.92,0.39,0.67
tcvp.csv,0.04,0.07,0.09,0.0,0.19,0.06,0.0,0.0,0.02,0.01,0.86,0.01,0.0,0.02
zxing.csv,0.69,0.58,0.65,0.47,0.56,0.41,0.56,0.27,0.65,0.66,0.25,0.52,0.33,0.78
