,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.49,0.41,0.39,0.0,0.51,0.51,0.45,0.45,0.73,0.47,0.67,0.67,0.48,0.39,0.93,0.41,0.0,0.44
ardour.csv,0.44,0.31,0.34,0.6,0.43,0.39,0.4,0.39,0.68,0.36,0.47,0.58,0.38,0.35,0.83,0.34,0.39,0.34
bacnet.csv,0.46,0.4,0.37,0.48,0.45,0.49,0.65,0.36,0.56,0.71,0.4,0.44,0.6,0.39,0.46,0.33,0.39,0.77
cortex-vfx.csv,0.64,0.65,0.72,0.45,0.96,0.62,0.85,0.48,0.6,0.51,0.41,0.55,0.48,0.68,0.75,0.5,0.52,0.47
enzo.csv,0.36,0.37,0.33,0.33,0.34,0.37,0.42,0.35,0.38,0.33,0.46,0.4,0.42,0.38,0.32,0.42,0.37,0.34
growl-for-windows.csv,0.39,0.9,0.0,0.9,0.47,0.47,0.44,0.67,0.5,0.91,0.44,0.0,0.46,0.96,0.67,0.72,0.54,0.39
heekscad.csv,0.38,0.43,0.43,0.39,0.41,0.48,0.44,0.38,0.43,0.9,0.45,0.44,0.47,0.39,0.4,0.4,0.35,0.61
minig.csv,0.66,0.51,0.49,0.38,0.48,0.55,0.52,0.55,0.51,0.56,0.64,0.53,0.51,0.56,0.35,0.77,0.43,0.36
multitude.csv,0.41,0.38,0.37,0.39,0.34,0.43,0.41,0.36,0.43,0.42,0.42,0.4,0.44,0.41,0.42,0.39,0.36,0.31
natpad.csv,0.49,0.4,0.35,0.44,0.47,0.52,0.65,0.37,0.56,0.51,0.4,0.53,0.58,0.48,0.59,0.46,0.38,0.52
open-ms.csv,0.47,0.5,0.37,0.47,0.66,0.65,0.61,0.46,0.56,0.89,0.55,0.56,0.43,0.44,0.75,0.36,0.44,0.4
planeshift.csv,0.43,0.38,0.37,0.36,0.34,0.43,0.43,0.37,0.39,0.43,0.47,0.4,0.49,0.42,0.38,0.42,0.36,0.36
rocrail.csv,0.45,0.44,0.35,0.41,0.36,0.49,0.44,0.37,0.41,0.65,0.47,0.48,0.5,0.46,0.38,0.38,0.36,0.5
salasaga.csv,0.47,0.41,0.39,0.53,0.44,0.49,0.67,0.37,0.62,0.97,0.41,0.58,0.67,0.42,0.46,0.4,0.45,0.83
xcsoar.csv,0.38,0.36,0.39,0.47,0.44,0.51,0.47,0.4,0.44,0.48,0.47,0.54,0.39,0.47,0.41,0.34,0.33,0.44
xemeiah.csv,0.47,0.39,0.43,0.62,0.4,0.51,0.46,0.38,0.63,0.48,0.4,0.48,0.43,0.49,0.66,0.38,0.39,0.44
xmoto.csv,0.47,0.5,0.48,0.83,0.65,0.39,0.46,0.41,0.46,0.5,0.53,0.61,0.5,0.8,0.64,0.44,0.4,0.65
zxing.csv,0.43,0.37,0.39,0.86,0.53,0.49,0.46,0.38,0.59,0.53,0.71,0.56,0.54,0.41,0.8,0.37,0.92,0.41
