,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.38,0.36,0.48,0.73,0.14,0.7,0.0,0.95,0.38,0.77,0.57
codesmith.csv,0.23,0.37,0.56,0.82,0.21,0.71,0.07,0.36,0.4,0.58,1.0
javaprofiler.csv,0.3,0.31,0.5,0.75,0.18,0.65,0.03,0.42,0.36,0.97,0.58
jpaul.csv,1.0,0.35,1.0,0.8,0.4,0.82,0.11,0.25,0.0,1.0,0.5
jrdf.csv,0.47,0.32,0.8,0.72,1.0,0.83,0.08,0.25,0.48,0.67,0.61
mecat.csv,0.0,0.33,0.0,0.84,1.0,0.0,1.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.1,0.97,0.41,0.65,0.09,0.64,0.06,0.36,0.47,0.75,0.52
synecdoche.csv,0.27,0.38,0.67,0.78,0.33,0.83,0.03,0.38,1.0,0.7,0.74
tycho.csv,0.29,0.35,1.0,0.73,0.38,0.83,0.05,0.5,0.51,0.81,0.86
unicase.csv,0.38,0.36,0.75,0.99,0.22,0.79,0.05,0.33,0.4,0.59,0.54
xcmetadataservicestoolkit.csv,0.36,0.31,0.31,0.75,0.27,1.0,0.09,0.53,0.67,0.65,0.62
