,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.57,0.71,0.81,0.75,0.85,0.9,1.08,0.06,0.74,0.57,0.83
codesmith.csv,0.83,0.69,0.84,0.56,0.74,0.78,0.55,0.77,0.77,0.88,0.03
javaprofiler.csv,0.7,0.81,0.99,0.65,0.77,1.0,0.85,0.71,0.98,0.06,0.81
jpaul.csv,0.0,0.75,0.74,0.85,0.62,0.79,0.44,0.98,1.0,0.91,0.89
jrdf.csv,0.62,0.75,0.89,0.76,0.2,0.59,0.52,0.89,0.68,0.73,0.77
mecat.csv,1.0,0.97,1.0,0.93,0.93,1.0,0.0,1.0,1.0,1.0,1.0
neodatis-odb.csv,1.0,0.01,0.88,0.82,0.93,0.84,0.72,0.83,0.78,0.59,0.87
synecdoche.csv,0.81,0.79,0.78,0.64,0.75,0.76,0.89,0.75,0.0,0.68,0.56
tycho.csv,0.74,0.89,0.03,0.91,0.8,0.57,0.75,0.77,0.54,0.69,0.91
unicase.csv,0.57,0.71,0.91,0.03,0.83,0.62,0.97,0.85,0.77,0.87,0.87
xcmetadataservicestoolkit.csv,0.63,0.79,1.03,0.67,0.81,0.05,0.53,0.79,0.73,0.75,0.77
