,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.49,0.63,0.43,0.7,0.53,0.87,0.42,0.03,0.53,0.33,0.56
codesmith.csv,0.59,0.57,0.82,0.3,0.32,0.33,0.43,0.67,0.72,0.69,0.0
javaprofiler.csv,0.51,0.7,0.96,0.48,0.61,0.93,0.53,0.68,0.95,0.06,0.47
jpaul.csv,0.0,0.31,0.0,0.1,0.15,0.13,0.28,0.05,0.0,0.0,0.29
jrdf.csv,0.2,0.49,0.04,0.32,0.0,0.27,0.4,0.32,0.28,0.44,0.56
mecat.csv,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.46,0.01,0.36,0.43,0.34,0.53,0.28,0.21,0.19,0.39,0.56
synecdoche.csv,0.27,0.21,0.14,0.35,0.14,0.13,0.58,0.35,0.0,0.42,0.44
tycho.csv,0.37,0.89,0.0,0.91,0.08,0.27,0.33,0.15,0.44,0.17,0.03
unicase.csv,0.49,0.61,0.04,0.03,0.83,0.6,0.97,0.76,0.72,0.72,0.62
xcmetadataservicestoolkit.csv,0.34,0.36,0.71,0.52,0.14,0.0,0.53,0.12,0.09,0.5,0.38
