,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.71,0.68,0.31,0.72,0.33,0.78,0.0,0.95,0.48,0.53,0.39
codesmith.csv,0.41,0.62,0.83,0.53,0.33,0.3,0.67,0.61,0.72,0.45,0.97
javaprofiler.csv,0.53,0.59,0.77,0.56,0.53,0.65,0.33,0.8,0.79,1.0,0.34
jpaul.csv,1.0,0.32,0.26,0.15,0.4,0.22,0.67,0.02,0.0,0.09,0.16
jrdf.csv,0.41,0.43,0.11,0.31,0.8,0.48,0.67,0.17,0.38,0.43,0.47
mecat.csv,0.0,0.03,0.0,0.07,0.07,0.0,1.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.12,1.0,0.2,0.3,0.13,0.35,0.33,0.2,0.24,0.56,0.33
synecdoche.csv,0.24,0.24,0.23,0.47,0.27,0.25,0.33,0.34,1.0,0.47,0.66
tycho.csv,0.35,0.92,0.97,0.92,0.2,0.5,0.33,0.24,0.69,0.33,0.09
unicase.csv,0.71,0.65,0.09,0.99,0.93,0.82,1.0,0.61,0.72,0.51,0.39
xcmetadataservicestoolkit.csv,0.47,0.3,0.26,0.59,0.2,0.95,1.0,0.22,0.28,0.44,0.33
