,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.35,0.54,0.34,0.81,0.87,0.42,1.0,0.78,0.9,0.88,0.58
codesmith.csv,0.0,0.57,0.86,0.45,0.67,0.72,1.0,0.68,0.79,0.53,0.86
javaprofiler.csv,1.0,0.86,0.89,0.69,0.93,0.85,0.33,0.83,0.59,0.8,0.48
jpaul.csv,0.88,0.22,0.0,0.22,0.0,0.22,0.0,0.37,0.0,0.47,0.41
jrdf.csv,0.53,0.19,0.0,0.48,0.67,0.3,1.0,0.32,0.17,0.31,0.25
mecat.csv,0.12,0.08,0.0,0.33,0.07,0.22,1.0,0.0,0.24,0.12,0.0
neodatis-odb.csv,0.59,0.7,0.86,0.81,0.07,0.32,0.67,0.37,0.83,0.36,0.16
synecdoche.csv,0.53,0.41,0.43,0.68,0.53,0.35,1.0,0.46,0.62,0.24,0.67
tycho.csv,0.0,0.38,0.71,0.42,0.07,0.28,0.0,0.2,0.38,0.41,0.03
unicase.csv,0.76,0.89,0.66,0.76,1.0,0.98,1.0,0.85,0.83,0.8,0.89
xcmetadataservicestoolkit.csv,0.35,0.59,0.2,0.56,0.4,0.8,0.67,0.27,0.86,0.51,0.33
