,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.49,0.8,0.89,0.72,0.68,0.95,0.67,0.93,0.5,0.51,0.59,0.97
echongl.csv,0.47,0.88,0.71,0.52,0.56,0.71,0.37,0.96,0.75,0.41,0.77,0.47
hazelcast.csv,0.35,0.33,0.36,0.33,0.34,0.33,0.39,0.35,0.3,0.33,0.38,0.32
japano.csv,0.51,0.68,0.48,0.56,0.54,0.38,0.39,0.45,0.38,0.61,0.45,0.6
jmol.csv,0.41,0.48,0.55,0.4,0.47,0.42,0.29,0.41,0.5,0.42,0.38,0.41
mobicents.csv,0.39,0.44,0.43,0.45,0.37,0.33,0.33,0.66,0.5,0.4,0.4,0.53
nunit.csv,0.52,0.45,0.88,0.52,0.5,0.45,0.67,0.92,0.41,0.85,0.42,0.65
openefm.csv,0.5,0.46,0.47,0.42,0.65,0.94,0.63,0.93,0.43,0.99,0.8,0.69
snakeyaml.csv,0.64,0.59,0.89,0.62,0.6,0.62,0.89,0.64,0.71,0.97,0.76,0.95
trackit.csv,0.81,0.47,0.53,0.77,0.83,0.71,0.95,0.69,0.42,0.99,0.88,0.58
unicase.csv,0.43,0.43,0.47,0.42,0.54,0.43,0.53,0.42,0.46,0.42,0.38,0.48
wheat.csv,0.51,0.65,0.75,0.62,0.52,0.74,0.31,0.47,0.5,0.99,0.72,0.49
