,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.57,0.78,0.9,0.76,0.86,0.91,0.96,0.74,0.97,0.76,0.33,0.86
echongl.csv,0.84,1.0,0.8,0.68,0.94,0.74,0.26,0.92,0.89,0.91,0.87,0.78
hazelcast.csv,0.61,0.07,0.76,0.69,0.85,0.72,0.67,0.62,0.74,0.61,0.68,0.68
japano.csv,0.82,1.1,0.92,0.86,0.3,0.89,0.97,0.94,1.0,0.91,1.02,0.78
jmol.csv,0.97,0.92,0.86,0.91,1.0,0.45,1.0,1.0,0.62,0.8,0.98,0.97
mobicents.csv,0.51,0.61,0.8,0.46,0.79,1.0,0.95,0.59,0.71,0.52,0.67,0.56
nunit.csv,0.69,0.38,0.91,0.62,0.75,0.66,0.74,0.62,0.79,0.85,0.72,0.44
openefm.csv,0.39,0.83,0.67,0.73,0.75,0.85,0.89,0.69,0.62,0.86,0.63,0.91
snakeyaml.csv,0.64,0.45,0.83,0.54,0.63,0.71,0.56,0.35,0.77,0.7,0.51,0.74
trackit.csv,0.7,0.86,0.6,0.88,0.82,0.83,0.92,1.0,0.68,0.86,1.0,0.79
unicase.csv,0.64,0.65,0.8,0.62,0.96,0.58,0.51,0.92,0.76,0.49,0.83,0.66
wheat.csv,0.66,0.63,0.66,0.66,0.81,0.73,0.95,0.83,0.41,0.77,0.37,0.68
