,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.04,0.39,0.29,0.62,0.23,0.19,0.12,0.24,0.25,0.21,0.89,0.83,0.49,0.03,0.87,0.89,0.69,0.44
bacula.csv,0.39,0.48,0.37,0.68,0.62,0.52,0.08,0.49,0.36,0.4,0.33,1.0,0.8,0.52,0.9,0.73,0.75,0.82
blue-c.csv,0.51,0.73,0.37,0.02,0.56,0.8,0.16,0.69,0.69,0.5,0.78,0.54,0.8,0.56,0.99,0.58,0.85,0.47
enlightenment.csv,0.37,0.99,1.0,1.0,0.99,0.38,0.96,1.0,0.59,1.0,1.0,0.92,1.0,0.36,0.99,1.0,1.0,1.0
fltk.csv,0.35,0.25,0.26,0.57,0.61,0.46,0.08,0.46,0.19,0.26,0.33,0.79,0.92,0.39,0.91,0.71,0.88,0.6
freewrl.csv,0.73,0.46,0.34,0.0,0.31,0.7,0.4,0.91,0.72,0.36,0.44,0.33,0.63,0.8,0.55,0.85,0.55,0.42
genecys.csv,1.0,0.88,0.83,0.91,0.59,0.61,0.56,0.84,0.98,0.77,0.33,0.62,0.92,0.94,0.91,0.98,0.65,0.6
genoviz.csv,0.1,0.02,0.03,0.0,0.24,0.01,0.0,0.06,0.0,0.02,0.22,0.04,0.25,0.12,0.0,0.22,0.23,0.04
gzigzag.csv,0.37,0.31,0.34,0.17,0.29,0.05,0.04,0.26,0.4,0.21,0.56,0.67,0.25,0.25,0.58,0.51,0.18,0.6
jparsec.csv,1.0,0.52,0.77,0.4,0.57,1.0,1.0,0.98,1.0,0.8,0.56,0.0,0.65,1.0,0.26,0.22,0.36,0.78
lportal.csv,0.04,0.06,0.0,0.0,0.02,0.11,0.0,0.01,0.12,0.01,0.0,0.0,0.22,0.18,0.01,0.13,0.18,0.07
ogrehg.csv,0.39,0.46,0.31,0.15,0.54,0.15,0.04,0.22,0.34,0.28,0.33,0.42,0.73,0.4,0.94,0.56,0.67,0.71
patterntesting.csv,0.71,0.75,0.8,0.19,0.89,0.85,0.6,0.94,0.93,0.7,0.89,0.96,0.92,0.62,0.99,0.91,0.81,0.73
pfaedit.csv,0.0,0.21,0.23,0.15,0.54,0.07,0.32,0.36,0.01,0.21,0.33,0.71,0.43,0.0,0.61,0.56,0.46,0.44
pgui.csv,0.47,0.0,0.0,0.6,0.81,0.0,0.88,0.75,0.0,0.0,1.0,1.0,0.08,0.3,0.71,0.93,0.0,0.98
roller.csv,0.47,0.9,0.69,0.15,0.68,0.67,0.44,0.94,0.87,0.76,1.0,0.46,0.25,0.32,0.26,0.49,0.62,0.84
sylpheed-claws.csv,0.24,0.88,1.0,0.49,0.76,0.71,1.0,1.0,0.26,0.99,1.0,0.54,0.86,0.34,0.59,0.93,0.77,0.93
xbg.csv,0.47,0.16,0.17,0.47,0.14,0.32,0.08,0.16,0.52,0.21,0.33,0.04,0.14,0.38,0.0,0.25,0.15,0.13
