,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,3.0,3.0,0.0,0.0,0.0,9.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
amygdala.csv,3.0,0.0,1.0,17.0,3.0,2.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,56.0
cme.csv,109.0,456.0,79.0,0.0,67.0,77.0,74.0,58.0,81.0,72.0,0.0,66.0,77.0,55.0,51.0,0.0
dspace-gsoc.csv,0.0,7.0,0.0,2.0,1.0,4.0,74.0,2.0,1.0,4.0,0.0,15.0,0.0,2.0,3.0,3.0
hydrate.csv,0.0,0.0,0.0,96.0,0.0,0.0,74.0,4.0,0.0,72.0,0.0,9.0,0.0,0.0,0.0,56.0
ivef-sdk.csv,1.0,18.0,2.0,0.0,10.0,9.0,13.0,58.0,2.0,0.0,0.0,66.0,0.0,0.0,0.0,26.0
jmri.csv,0.0,0.0,3.0,0.0,4.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
kdenlive.csv,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,28.0,0.0,0.0,0.0,22.0
motu.csv,0.0,1.0,0.0,96.0,0.0,2.0,74.0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,56.0
plplot.csv,2.0,18.0,3.0,25.0,2.0,0.0,4.0,10.0,0.0,5.0,2.0,7.0,0.0,0.0,5.0,18.0
projectfactory.csv,1.0,1.0,4.0,1.0,6.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0
runuomondains.csv,1.0,18.0,2.0,96.0,4.0,0.0,74.0,4.0,2.0,72.0,0.0,0.0,0.0,55.0,0.0,56.0
somap.csv,3.0,18.0,2.0,1.0,9.0,8.0,17.0,13.0,1.0,2.0,1.0,7.0,0.0,0.0,3.0,18.0
taverna.csv,1.0,6.0,0.0,1.0,2.0,2.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0
tigermud.csv,3.0,12.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,9.0
wishmaster.csv,1.0,3.0,2.0,0.0,67.0,3.0,0.0,58.0,0.0,1.0,1.0,66.0,0.0,0.0,1.0,4.0
