,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.92,0.43,1.0,0.79,0.79,0.74,0.82,0.78,0.91,0.66,0.13,0.62,0.79,0.97,0.67,0.75,0.8
delphilhlplib.csv,0.95,0.85,0.41,0.95,0.55,0.53,0.47,0.51,0.4,0.45,0.71,0.45,0.57,0.99,0.8,0.38,0.8
exordium.csv,0.95,0.42,0.42,0.79,0.62,0.74,0.82,0.58,0.37,0.42,0.81,0.58,0.63,0.95,0.81,0.52,1.0
fltk.csv,0.87,0.47,0.67,0.47,0.66,0.47,0.53,0.55,0.89,0.34,0.13,0.56,0.52,0.99,0.76,0.59,1.0
genoviz.csv,0.33,0.66,0.1,0.21,0.48,0.11,0.18,0.16,0.11,0.13,0.0,0.15,0.21,0.42,0.29,0.02,1.0
gzigzag.csv,0.72,0.7,0.29,0.53,0.55,0.21,0.59,0.24,0.2,0.42,0.16,0.32,0.33,0.23,0.54,0.16,0.4
irrlicht.csv,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.97,1.0,1.0,1.0,0.0,1.0,1.0
moast.csv,0.13,0.26,0.24,0.37,0.79,0.26,1.0,0.25,1.0,0.26,0.1,0.47,0.1,0.97,0.26,0.39,0.8
mptvseries.csv,0.87,0.08,0.69,0.58,0.34,0.68,0.61,0.34,0.83,0.34,0.13,0.38,0.49,0.08,0.63,0.45,1.0
openfrag.csv,0.97,0.91,0.78,0.84,0.69,0.68,0.92,0.69,0.6,0.61,0.23,0.77,0.67,0.96,0.74,0.71,1.0
qse.csv,0.74,0.51,0.81,0.63,0.76,0.68,0.88,0.64,0.8,0.53,0.61,0.35,0.48,1.0,0.64,0.79,0.6
sauerbraten.csv,0.72,0.49,0.95,0.95,0.9,0.95,0.88,0.86,1.0,0.95,0.74,0.91,0.97,0.97,0.77,0.68,0.2
toped.csv,1.0,0.87,0.99,0.95,0.9,0.84,0.88,0.82,0.94,0.47,0.74,0.71,0.87,1.0,0.79,0.75,1.0
truevision.csv,0.85,0.64,0.59,0.68,0.45,0.58,0.63,0.55,0.0,0.79,0.71,0.41,0.55,0.99,0.86,0.45,0.6
uwom.csv,0.87,0.36,0.71,0.89,0.55,0.79,0.14,0.62,0.2,0.45,0.16,0.3,0.87,0.07,0.84,0.29,0.8
zoolib.csv,0.9,0.68,0.45,0.74,0.66,0.53,0.61,0.46,0.2,0.42,0.68,0.26,0.54,0.99,0.73,0.21,0.6
zxing.csv,0.72,0.68,0.78,0.32,0.55,0.26,0.65,0.43,0.37,0.61,0.16,0.39,0.39,0.17,0.6,0.79,1.0
