,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.63,0.79,0.97,0.61,0.68,0.73,0.38,0.85,0.79,0.55,0.88,0.6,0.32,0.41,0.39,0.59,0.67
delphilhlplib.csv,0.83,0.32,0.6,0.61,0.62,0.49,0.57,0.6,0.6,0.57,0.39,0.56,0.57,0.55,0.47,0.63,0.78
exordium.csv,0.83,0.63,0.6,0.34,0.65,0.33,0.48,0.57,0.63,0.6,0.41,0.46,0.48,0.69,0.4,0.56,0.42
fltk.csv,0.64,0.62,0.43,0.59,0.73,0.62,0.52,0.63,0.5,0.67,0.87,0.49,0.53,0.79,0.34,0.58,0.51
genoviz.csv,0.7,0.6,0.9,0.79,0.58,0.9,0.82,0.85,0.89,0.87,1.0,0.85,0.79,0.6,0.71,0.98,0.04
gzigzag.csv,0.5,0.49,0.72,0.49,0.57,0.8,0.69,0.78,0.8,0.59,0.85,0.68,0.7,1.15,0.52,0.86,0.77
irrlicht.csv,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.61,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
moast.csv,0.89,0.83,0.79,0.7,0.88,0.85,1.0,0.79,1.0,0.83,0.92,0.6,0.97,0.14,0.99,0.77,0.67
mptvseries.csv,0.64,0.93,0.43,0.51,0.68,0.43,0.41,0.7,0.29,0.67,0.87,0.62,0.53,0.92,0.43,0.56,0.38
openfrag.csv,0.79,0.84,0.6,0.49,0.64,0.37,0.45,0.56,0.4,0.48,0.8,0.31,0.4,0.86,0.42,0.34,0.91
qse.csv,0.68,0.7,0.61,0.49,0.73,0.37,0.46,0.62,0.26,0.56,0.53,0.68,0.63,0.9,0.47,0.52,0.82
sauerbraten.csv,0.47,0.88,0.98,0.82,0.73,1.0,0.9,0.93,1.0,0.97,0.82,0.99,0.73,0.48,0.62,0.83,1.06
toped.csv,0.88,0.95,0.9,0.97,0.92,0.7,0.16,0.81,0.81,0.75,0.74,0.67,0.65,1.0,0.57,0.86,0.96
truevision.csv,0.6,0.49,0.49,0.7,0.6,0.46,0.58,0.61,1.0,0.28,0.53,0.62,0.6,0.97,0.54,0.58,0.65
uwom.csv,0.6,0.66,0.54,0.48,0.51,0.59,0.87,0.65,0.8,0.55,0.84,0.7,0.58,0.94,0.3,0.72,0.65
zoolib.csv,0.67,0.64,0.57,0.52,0.68,0.48,0.51,0.64,0.8,0.61,0.4,0.74,0.56,0.86,0.36,0.79,0.6
zxing.csv,0.57,1.0,0.64,0.71,0.65,0.77,0.49,0.65,0.63,0.6,0.86,0.71,0.65,1.17,0.43,0.36,0.6
