,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.8,0.53,0.73,0.45,0.41,0.52,0.87,0.77,0.62,0.53,0.11,0.62,0.8,0.96,0.56,0.79,0.21
delphilhlplib.csv,0.77,0.87,0.54,0.51,0.38,0.61,0.62,0.64,0.57,0.53,0.31,0.59,0.61,0.96,0.48,0.54,0.19
exordium.csv,0.77,0.56,0.54,0.61,0.38,0.72,0.87,0.69,0.53,0.5,0.28,0.67,0.67,0.93,0.53,0.64,0.34
fltk.csv,0.77,0.6,0.71,0.42,0.35,0.47,0.68,0.66,0.7,0.43,0.16,0.65,0.61,0.95,0.58,0.69,0.3
genoviz.csv,0.46,0.72,0.17,0.33,0.42,0.17,0.3,0.27,0.21,0.23,0.0,0.26,0.34,0.58,0.39,0.04,0.83
gzigzag.csv,0.73,0.76,0.41,0.56,0.41,0.31,0.7,0.37,0.33,0.52,0.13,0.47,0.44,0.35,0.45,0.26,0.14
irrlicht.csv,0.76,0.85,0.73,0.4,0.38,0.55,0.92,0.75,0.6,0.52,0.16,0.71,0.71,0.94,0.0,0.87,0.18
moast.csv,0.21,0.38,0.34,0.33,0.35,0.27,0.92,0.38,0.6,0.27,0.07,0.55,0.15,0.97,0.15,0.51,0.21
mptvseries.csv,0.77,0.14,0.72,0.48,0.36,0.63,0.75,0.48,0.77,0.44,0.17,0.53,0.61,0.15,0.53,0.61,0.37
openfrag.csv,0.79,0.83,0.71,0.52,0.4,0.68,0.92,0.75,0.72,0.57,0.13,0.8,0.72,0.93,0.51,0.81,0.2
qse.csv,0.7,0.61,0.72,0.49,0.38,0.68,0.9,0.72,0.79,0.51,0.22,0.46,0.54,0.95,0.47,0.81,0.15
sauerbraten.csv,0.74,0.57,0.71,0.43,0.43,0.53,0.87,0.81,0.6,0.5,0.15,0.67,0.76,0.95,0.4,0.71,0.05
toped.csv,0.79,0.79,0.74,0.4,0.37,0.57,0.93,0.8,0.62,0.38,0.16,0.65,0.72,0.94,0.43,0.75,0.19
truevision.csv,0.77,0.73,0.66,0.39,0.41,0.61,0.74,0.66,0.0,0.74,0.22,0.52,0.59,0.94,0.47,0.6,0.19
uwom.csv,0.78,0.51,0.69,0.55,0.48,0.59,0.24,0.7,0.33,0.6,0.2,0.45,0.74,0.14,0.61,0.44,0.22
zoolib.csv,0.78,0.73,0.58,0.48,0.37,0.65,0.73,0.59,0.33,0.48,0.32,0.4,0.6,0.94,0.57,0.35,0.21
zxing.csv,0.71,0.68,0.7,0.34,0.36,0.32,0.76,0.56,0.53,0.49,0.11,0.46,0.5,0.26,0.55,0.84,0.27
