,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,moast.csv,uwom.csv,zxing.csv,genoviz.csv
auber.csv,0.62,0.56,0.97,0.57,0.65,0.68,0.33,0.82,0.79,0.44,0.11,0.47,0.24,0.41,0.2,0.53,0.64
delphilhlplib.csv,0.83,0.28,0.15,0.61,0.43,0.13,0.22,0.35,0.0,0.13,0.26,0.11,0.36,0.55,0.43,0.06,0.76
exordium.csv,0.83,0.22,0.18,0.27,0.53,0.19,0.44,0.39,0.02,0.14,0.36,0.17,0.31,0.69,0.35,0.29,0.42
fltk.csv,0.62,0.33,0.26,0.27,0.65,0.32,0.22,0.45,0.49,0.13,0.05,0.21,0.22,0.79,0.25,0.41,0.51
genoviz.csv,0.21,0.5,0.01,0.02,0.26,0.06,0.0,0.12,0.0,0.01,0.02,0.02,0.04,0.14,0.06,0.0,0.04
gzigzag.csv,0.42,0.39,0.14,0.12,0.35,0.1,0.56,0.14,0.0,0.11,0.12,0.06,0.2,0.86,0.25,0.18,0.49
irrlicht.csv,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.53,1.0,1.0,0.98,1.0,1.0,1.0,0.0,1.0,1.0
moast.csv,0.17,0.39,0.24,0.3,0.86,0.42,1.0,0.25,1.0,0.38,0.17,0.28,0.36,0.14,0.66,0.47,0.64
mptvseries.csv,0.62,0.06,0.3,0.29,0.17,0.29,0.11,0.24,0.23,0.11,0.03,0.06,0.15,0.0,0.21,0.06,0.38
openfrag.csv,0.79,0.83,0.56,0.46,0.56,0.19,0.44,0.47,0.04,0.27,0.22,0.21,0.24,0.86,0.33,0.18,0.91
qse.csv,0.62,0.5,0.58,0.32,0.69,0.19,0.44,0.51,0.17,0.3,0.36,0.21,0.35,0.9,0.31,0.47,0.71
sauerbraten.csv,0.38,0.72,0.98,0.82,0.72,1.0,0.89,0.92,1.0,0.97,0.78,0.98,0.73,0.48,0.58,0.76,0.69
toped.csv,0.88,0.94,0.9,0.96,0.91,0.68,0.11,0.78,0.81,0.54,0.7,0.6,0.64,1.0,0.53,0.82,0.96
truevision.csv,0.58,0.33,0.27,0.62,0.23,0.19,0.44,0.41,0.0,0.18,0.44,0.19,0.4,0.97,0.52,0.18,0.51
uwom.csv,0.58,0.17,0.46,0.46,0.24,0.55,0.11,0.53,0.02,0.03,0.04,0.04,0.56,0.17,0.26,0.06,0.62
zoolib.csv,0.67,0.56,0.15,0.45,0.58,0.06,0.33,0.33,0.02,0.18,0.24,0.06,0.31,0.86,0.23,0.06,0.44
zxing.csv,0.5,0.94,0.6,0.18,0.47,0.23,0.33,0.31,0.02,0.45,0.17,0.38,0.22,0.83,0.16,0.29,0.6
