,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,75.0,43.0,31.0,0.0,5.0,7.0,0.0,14.0,10.0,2.0,7.0,2.0,1.0,3.0
emeraldemu.csv,1.0,177.0,11.0,0.0,0.0,4.0,0.0,7.0,6.0,0.0,0.0,1.0,9.0,5.0
frogatto.csv,9.0,19.0,43.0,3.0,3.0,1.0,2.0,13.0,9.0,2.0,2.0,0.0,4.0,4.0
grafx2.csv,14.0,1.0,24.0,2.0,2.0,13.0,0.0,8.0,19.0,0.0,3.0,2.0,0.0,9.0
jahshakafx.csv,0.0,3.0,6.0,0.0,9.0,0.0,2.0,100.0,3.0,80.0,0.0,0.0,2.0,5.0
nassp.csv,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
netatalk.csv,0.0,15.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
open-beos.csv,9.0,1.0,47.0,0.0,6.0,0.0,0.0,13.0,7.0,1.0,2.0,0.0,0.0,4.0
psycle.csv,56.0,3.0,72.0,0.0,3.0,13.0,3.0,3.0,8.0,2.0,1.0,4.0,0.0,15.0
quantlib.csv,7.0,4.0,24.0,0.0,4.0,2.0,0.0,8.0,13.0,2.0,1.0,5.0,0.0,0.0
reaper-ecad.csv,61.0,4.0,0.0,0.0,1.0,6.0,0.0,100.0,4.0,0.0,2.0,1.0,0.0,118.0
sbml.csv,52.0,2.0,40.0,0.0,7.0,10.0,0.0,6.0,12.0,1.0,0.0,0.0,0.0,1.0
unimrcp.csv,5.0,5.0,2.0,0.0,3.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0
unladen-swallow.csv,101.0,0.0,189.0,0.0,0.0,0.0,2.0,11.0,7.0,0.0,0.0,1.0,6.0,2.0
