,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.87,0.6,0.99,0.74,0.79,0.74,0.84,0.76,0.86,0.71,0.19,0.74,0.79,0.82,0.96,0.7,0.8
delphilhlplib.csv,0.97,0.92,0.56,1.0,0.59,0.63,0.59,0.71,0.54,0.71,0.9,0.64,0.81,0.6,0.99,0.64,1.0
exordium.csv,0.51,0.3,0.04,0.53,0.55,0.32,0.47,0.17,0.09,0.13,0.68,0.15,0.1,0.05,0.11,0.12,0.8
fltk.csv,0.9,0.38,0.74,0.79,0.69,0.68,0.69,0.62,0.89,0.42,0.19,0.65,0.69,0.62,0.97,0.62,1.0
genoviz.csv,0.13,0.66,0.05,0.11,0.52,0.11,0.16,0.14,0.06,0.05,0.03,0.09,0.19,0.25,0.42,0.0,0.8
gzigzag.csv,0.03,0.06,0.04,0.0,0.0,0.26,0.12,0.03,0.09,0.0,0.0,0.0,0.03,0.18,0.03,0.0,0.2
irrlicht.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moast.csv,0.97,0.38,0.81,0.95,0.69,0.58,0.67,0.8,0.94,0.39,0.74,0.73,0.69,0.48,0.97,0.75,1.0
mptvseries.csv,0.82,0.0,0.72,0.68,0.31,0.63,0.45,0.29,0.83,0.18,0.03,0.32,0.21,0.32,0.0,0.18,0.8
openfrag.csv,1.0,0.98,0.57,0.95,0.66,0.63,0.94,0.71,0.54,0.71,0.61,0.76,0.73,0.52,0.93,0.57,0.8
qdvdauthor.csv,0.51,0.38,0.81,0.68,0.48,0.89,0.84,0.81,1.0,0.87,0.39,0.83,0.9,0.9,0.64,0.45,0.2
qse.csv,0.9,0.57,0.79,0.95,0.83,0.63,0.94,0.72,0.74,0.71,0.71,0.44,0.54,0.5,1.0,0.73,0.6
sauerbraten.csv,0.82,0.57,0.96,1.0,0.97,0.79,0.86,0.88,0.94,0.95,0.97,0.95,0.94,0.82,0.99,0.84,0.4
toped.csv,0.97,0.87,1.0,0.95,0.93,0.84,0.92,0.91,1.0,0.82,0.58,0.95,0.94,0.95,0.99,0.82,1.0
truevision.csv,0.82,0.57,0.76,0.84,0.62,0.74,0.71,0.77,0.31,0.63,0.52,0.7,0.52,0.6,1.0,0.66,0.6
zoolib.csv,0.0,0.42,0.0,0.0,0.03,0.16,0.08,0.02,0.0,0.03,0.0,0.0,0.09,0.08,0.32,0.02,0.0
zxing.csv,1.0,1.0,0.93,0.95,0.79,0.89,0.84,0.76,0.94,0.71,0.87,0.83,0.76,0.7,1.0,0.89,1.0
