,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.69,0.49,0.13,0.68,0.67,0.47,0.76,0.49,0.64,0.67,0.22,0.56,0.78,0.69,0.7,0.51,0.67
delphilhlplib.csv,0.3,0.63,0.58,0.6,0.57,0.65,0.58,0.62,0.59,0.71,0.74,0.67,0.6,0.57,0.8,0.65,0.43
exordium.csv,0.53,0.34,0.05,0.58,0.56,0.37,0.5,0.2,0.11,0.16,0.69,0.18,0.12,0.06,0.13,0.15,0.79
fltk.csv,0.63,0.42,0.72,0.75,0.55,0.68,0.71,0.59,0.71,0.47,0.23,0.67,0.71,0.6,0.6,0.6,0.78
genoviz.csv,0.16,0.62,0.06,0.13,0.55,0.13,0.19,0.17,0.07,0.06,0.04,0.11,0.23,0.29,0.47,0.0,0.83
gzigzag.csv,0.04,0.07,0.05,0.0,0.0,0.3,0.15,0.04,0.11,0.0,0.0,0.0,0.04,0.21,0.04,0.0,0.24
irrlicht.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moast.csv,0.3,0.43,0.63,0.44,0.58,0.62,0.69,0.47,0.62,0.43,0.67,0.67,0.5,0.5,0.9,0.74,0.69
mptvseries.csv,0.76,0.0,0.69,0.68,0.36,0.67,0.5,0.33,0.8,0.22,0.04,0.37,0.25,0.36,0.0,0.22,0.71
openfrag.csv,0.3,0.24,0.56,0.72,0.59,0.66,0.69,0.62,0.59,0.72,0.6,0.74,0.67,0.55,0.64,0.58,0.26
qdvdauthor.csv,0.54,0.38,0.38,0.59,0.49,0.51,0.64,0.58,0.0,0.66,0.4,0.47,0.75,0.66,0.68,0.47,0.23
qse.csv,0.48,0.5,0.66,0.74,0.45,0.63,0.57,0.52,0.77,0.68,0.64,0.48,0.5,0.51,0.36,0.63,0.24
sauerbraten.csv,0.76,0.39,0.09,0.09,0.35,0.39,0.0,0.17,0.0,0.05,0.24,0.0,0.48,0.36,0.45,0.38,0.4
toped.csv,0.4,0.24,0.05,0.48,0.35,0.45,0.68,0.17,0.38,0.62,0.47,0.46,0.74,0.48,0.45,0.74,0.43
truevision.csv,0.69,0.59,0.67,0.71,0.63,0.59,0.63,0.61,0.36,0.66,0.56,0.68,0.54,0.57,0.13,0.68,0.53
zoolib.csv,0.0,0.47,0.0,0.0,0.04,0.19,0.1,0.02,0.0,0.04,0.0,0.0,0.11,0.1,0.35,0.02,0.0
zxing.csv,0.41,0.0,0.55,0.58,0.48,0.73,0.76,0.59,0.74,0.71,0.74,0.76,0.66,0.64,0.36,0.76,0.43
