,sauerbraten.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,qdvdauthor.csv,moast.csv,zxing.csv,genoviz.csv
auber.csv,0.69,0.71,0.58,0.34,0.29,0.36,0.91,0.76,0.48,0.45,0.06,0.56,0.78,0.75,0.92,0.75,0.13
delphilhlplib.csv,0.63,0.79,0.71,0.31,0.27,0.6,0.88,0.8,0.79,0.56,0.13,0.81,0.58,0.71,0.93,0.88,0.11
exordium.csv,0.69,0.73,0.75,0.62,0.32,0.67,0.89,0.94,1.0,0.56,0.21,0.91,0.47,0.5,0.93,1.0,0.27
fltk.csv,0.67,0.77,0.72,0.41,0.24,0.57,0.95,0.81,0.53,0.64,0.18,0.75,0.81,0.74,0.91,0.81,0.16
genoviz.csv,0.62,0.8,0.88,1.0,0.36,0.5,1.0,0.83,1.0,0.67,0.12,0.86,0.87,0.91,0.96,0.0,0.8
gzigzag.csv,1.0,0.75,0.5,0.0,0.0,0.56,1.0,0.86,1.0,0.0,0.0,0.0,1.0,0.88,0.35,0.0,1.0
irrlicht.csv,0.62,0.75,0.57,0.25,0.24,0.38,0.85,0.77,0.43,0.35,0.09,0.55,0.55,0.68,0.89,0.77,0.1
moast.csv,0.63,0.95,0.62,0.27,0.25,0.69,0.94,0.77,0.49,0.5,0.12,0.65,0.52,0.7,0.96,0.89,0.14
mptvseries.csv,0.76,0.0,0.71,0.42,0.43,0.75,0.96,0.82,0.67,0.88,0.5,0.91,0.78,0.76,0.0,1.0,0.15
openfrag.csv,0.64,0.75,0.61,0.33,0.26,0.67,0.89,0.8,0.95,0.6,0.12,0.74,0.64,0.81,0.91,0.84,0.09
qdvdauthor.csv,0.71,0.65,0.55,0.28,0.25,0.4,0.88,0.79,0.43,0.41,0.06,0.56,0.67,0.73,0.99,0.78,0.04
qse.csv,0.64,0.71,0.64,0.35,0.24,0.52,0.87,0.77,0.84,0.48,0.11,0.69,0.51,0.69,0.9,0.8,0.07
sauerbraten.csv,0.76,0.67,0.57,0.26,0.25,0.36,0.83,0.76,0.41,0.34,0.09,0.54,0.58,0.66,0.9,0.76,0.07
toped.csv,0.64,0.73,0.57,0.28,0.24,0.38,0.89,0.76,0.45,0.39,0.07,0.58,0.66,0.7,0.9,0.85,0.11
truevision.csv,0.7,0.86,0.65,0.33,0.35,0.4,0.88,0.8,0.79,0.69,0.18,0.7,0.66,0.71,0.89,0.9,0.09
zoolib.csv,0.0,0.88,0.0,0.0,0.07,0.75,1.0,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.87,1.0,0.0
zxing.csv,0.65,0.75,0.61,0.3,0.23,0.49,0.91,0.79,0.54,0.55,0.13,0.71,0.62,0.74,0.9,0.85,0.11
