,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.63,0.4,0.3,0.19,0.83,0.6,0.57,0.6,0.21,0.93,1.0,0.49,0.0
ftm.csv,0.74,0.23,0.35,0.14,0.85,0.66,0.47,0.81,0.07,0.79,0.78,0.63,0.86
google-web-toolkit.csv,0.69,0.19,0.29,0.08,0.76,0.71,0.48,0.88,0.12,0.91,0.76,0.63,0.46
gzigzag.csv,0.69,0.25,0.34,0.1,0.83,0.62,0.44,0.69,0.32,0.93,0.76,0.53,0.78
illumination.csv,1.0,0.0,0.25,0.0,0.54,0.0,0.0,1.0,0.59,0.33,0.67,0.0,0.45
jcache.csv,0.63,0.29,0.23,0.1,0.56,0.62,0.41,0.66,0.23,0.93,0.61,0.42,0.81
moast.csv,0.56,0.25,0.23,0.03,0.67,0.55,0.42,0.6,0.19,1.0,0.59,0.32,0.33
nativeclient.csv,0.7,0.31,0.26,0.12,0.6,0.59,0.44,0.72,0.21,0.9,0.78,0.6,0.73
ns-3-dev-def-routing.csv,0.71,0.26,0.28,0.15,0.79,0.6,0.53,0.76,0.0,1.0,0.68,0.61,0.3
openfrag.csv,0.63,0.26,0.24,0.16,0.8,0.62,0.48,0.77,0.27,0.88,0.72,0.46,0.45
qdvdauthor.csv,0.67,0.14,0.28,0.0,0.55,0.59,0.45,0.78,0.25,0.93,0.56,0.52,0.42
sauerbraten.csv,0.81,0.25,0.27,0.08,0.55,0.6,0.39,0.67,0.21,0.91,0.59,0.47,0.44
zoolib.csv,0.7,0.54,0.26,0.21,0.88,0.61,0.51,0.64,0.11,0.9,0.79,0.62,0.78
