,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.3,0.73,0.32,0.69,0.18,0.31,0.39,0.18,0.39,0.76,0.06,0.46,0.0
ftm.csv,0.48,0.34,0.6,0.65,0.57,0.36,0.63,0.37,0.07,0.2,0.48,0.68,0.58
google-web-toolkit.csv,0.68,0.21,0.53,0.12,0.51,0.68,0.53,0.61,0.07,0.57,0.26,0.67,0.27
gzigzag.csv,0.68,0.09,0.55,0.19,0.18,0.47,0.37,0.26,0.39,0.2,0.23,0.66,0.66
illumination.csv,0.04,0.0,0.4,0.0,0.09,0.0,0.0,0.02,0.78,0.0,0.01,0.0,0.0
jcache.csv,0.48,0.57,0.51,0.53,0.41,0.61,0.46,0.48,0.56,0.79,0.47,0.25,0.87
moast.csv,0.16,0.0,0.44,0.07,0.49,0.42,0.42,0.18,0.43,0.97,0.0,0.12,0.38
nativeclient.csv,0.52,0.66,0.59,0.71,0.6,0.52,0.63,0.56,0.52,0.51,0.68,0.62,0.72
ns-3-dev-def-routing.csv,0.72,0.21,0.44,0.77,0.5,0.48,0.62,0.51,0.0,0.82,0.58,0.66,0.34
openfrag.csv,0.3,0.57,0.55,0.4,0.72,0.61,0.65,0.58,0.5,0.42,0.48,0.17,0.34
qdvdauthor.csv,0.18,0.25,0.55,0.0,0.54,0.47,0.58,0.71,0.33,0.59,0.51,0.65,0.2
sauerbraten.csv,0.76,0.41,0.59,0.29,0.0,0.53,0.09,0.0,0.48,0.51,0.0,0.27,0.09
zoolib.csv,0.71,0.18,0.59,0.7,0.37,0.47,0.54,0.42,0.21,0.45,0.12,0.59,0.46
