,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.71,0.76,0.6,0.73,0.99,0.68,0.96,1.0,0.96,0.55,0.65,1.0,0.69,0.84,0.66,0.55
arcallians.csv,0.73,0.74,0.8,0.73,0.88,0.77,1.0,0.94,0.65,0.45,0.29,0.33,0.81,0.89,0.94,0.8
arianne.csv,0.7,0.94,1.0,1.0,0.96,0.98,0.92,0.81,0.9,1.0,0.99,1.0,0.62,0.97,0.83,0.95
aztec.csv,0.21,0.58,0.14,0.62,0.32,0.73,0.83,0.44,0.37,0.6,0.48,0.67,0.04,0.16,0.24,0.5
biopax.csv,0.95,0.93,0.98,0.88,0.99,0.82,0.88,0.94,0.98,0.95,0.73,1.0,0.81,1.0,0.8,0.95
bl-toolkit.csv,0.78,0.74,0.74,1.0,0.46,1.0,0.88,0.69,0.8,1.0,1.0,0.0,0.88,1.0,0.62,1.0
gnupdate.csv,0.61,0.73,0.3,0.73,0.8,0.93,1.0,0.44,0.94,0.85,0.58,0.33,0.23,0.84,0.58,0.85
les-indemodables.csv,0.79,0.5,0.82,0.69,0.54,0.57,0.62,0.75,0.35,0.55,0.47,0.33,0.77,0.65,0.72,0.5
ng4j.csv,0.46,0.69,0.62,0.65,0.87,0.66,0.25,0.94,0.92,0.8,0.58,1.0,0.5,0.89,0.58,0.85
openxava.csv,0.4,0.43,0.16,0.38,0.04,0.09,0.38,0.75,0.43,0.25,0.58,1.0,0.62,0.43,0.14,0.4
phonon-vlc-mplayer.csv,0.45,0.63,0.66,0.81,0.8,0.77,0.54,0.5,0.8,0.85,0.55,0.67,0.38,0.89,0.49,0.85
qgis.csv,0.34,0.61,0.24,0.0,0.86,0.43,0.0,0.75,0.59,0.0,0.0,1.0,0.65,0.86,0.68,0.5
rsyslog.csv,0.69,0.67,0.18,0.81,0.74,0.66,0.5,0.75,0.78,0.4,0.4,1.0,0.85,0.24,0.2,0.3
vars-redux.csv,0.58,0.52,0.48,0.42,0.51,0.52,0.17,0.94,0.84,0.3,0.3,1.0,0.58,0.76,0.35,0.6
xapian.csv,0.83,0.89,0.96,0.92,0.91,0.95,0.88,0.81,0.98,0.9,0.71,1.0,0.81,0.7,0.92,0.85
xqilla.csv,0.44,0.17,0.08,0.04,0.04,0.3,0.33,0.06,0.33,0.1,0.37,1.0,0.23,0.03,0.14,0.15
