,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.55,0.62,0.75,0.54,0.32,0.65,0.07,0.11,0.5,0.19,0.72,0.03,0.38,0.44,0.94,0.38
arcallians.csv,0.52,0.58,0.74,0.73,0.48,0.74,0.08,0.1,0.46,0.47,0.65,0.03,0.3,0.38,0.8,0.35
arianne.csv,0.72,0.49,0.69,0.52,0.29,0.52,0.11,0.09,0.47,0.19,0.63,0.02,0.35,0.37,0.81,0.28
aztec.csv,0.51,0.53,0.78,0.64,0.71,0.64,0.24,0.12,0.46,0.31,0.69,0.11,1.0,0.86,0.77,0.34
biopax.csv,0.51,0.53,0.69,0.57,0.28,0.57,0.08,0.1,0.42,0.2,0.66,0.02,0.24,0.38,0.98,0.27
bl-toolkit.csv,0.52,0.43,0.95,0.52,0.22,0.52,0.07,0.12,0.43,0.19,0.63,0.0,0.21,0.36,0.79,0.25
gnupdate.csv,0.59,0.5,0.83,0.61,0.52,0.55,0.08,0.1,0.45,0.47,0.69,0.04,0.19,0.38,0.87,0.32
les-indemodables.csv,0.52,0.63,0.68,0.72,0.31,0.6,0.09,0.09,0.35,0.2,0.67,0.02,0.29,0.56,0.89,0.2
ng4j.csv,0.59,0.59,0.82,0.65,0.48,0.64,0.29,0.11,0.49,0.3,0.67,0.03,0.24,0.4,1.0,0.5
openxava.csv,0.53,0.55,0.8,0.83,0.05,0.5,0.05,0.21,0.48,0.12,0.66,0.09,0.27,0.64,0.83,0.28
phonon-vlc-mplayer.csv,0.71,0.56,0.85,0.6,0.65,0.74,0.22,0.12,0.57,0.35,0.7,0.03,0.67,0.38,1.0,0.41
qgis.csv,0.51,0.67,0.57,0.0,0.56,0.68,0.0,0.09,0.54,0.0,0.0,0.04,0.39,0.45,0.96,0.38
rsyslog.csv,0.55,0.66,0.53,0.78,0.28,0.71,0.05,0.09,0.42,0.35,0.73,0.03,0.24,0.41,0.78,0.27
vars-redux.csv,0.57,0.69,0.77,0.73,0.35,0.62,0.1,0.19,0.65,0.16,0.7,0.03,0.29,0.47,1.0,0.35
xapian.csv,0.61,0.53,0.7,0.51,0.38,0.55,0.07,0.09,0.44,0.21,0.65,0.02,0.51,0.34,0.83,0.27
xqilla.csv,0.42,0.5,0.8,1.0,0.04,0.37,0.04,1.0,0.35,0.09,0.73,0.3,0.11,1.0,0.56,0.11
