,reactos-mirror.csv,critterding.csv,fceugc.csv,ogre.csv,autat.csv,mimosa.csv,alpine.csv,qse.csv,openfrag.csv,uclmda.csv,qdvdauthor.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,sandiaportals.csv,nativeclient.csv,factor.csv,miranda.csv
alpine.csv,0.06,0.02,0.07,0.25,0.03,0.02,0.0,0.15,0.09,0.0,0.11,0.12,0.07,0.07,0.0,0.06,0.09,0.0,0.11
autat.csv,0.07,0.07,0.05,0.5,0.01,0.29,0.11,0.72,0.02,0.17,0.26,0.16,0.2,0.0,0.33,0.94,0.07,0.13,0.23
critterding.csv,0.1,0.0,0.23,0.5,0.26,0.17,0.27,0.09,0.25,0.33,0.05,0.26,0.48,0.2,0.17,0.0,0.27,0.39,0.5
elateportal.csv,0.63,0.71,0.26,0.5,0.37,0.33,0.43,0.6,0.42,0.5,0.37,0.35,0.67,0.2,0.0,0.83,0.26,0.3,0.86
factor.csv,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.17,0.0,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0
fceugc.csv,0.35,0.12,0.0,0.5,0.59,0.52,0.3,0.34,0.58,0.67,0.11,0.42,0.48,0.2,0.17,0.0,0.25,0.43,0.23
jstock.csv,0.14,0.02,0.16,0.75,0.04,0.14,0.13,0.06,0.0,0.33,0.16,0.02,0.11,0.2,0.0,0.17,0.04,0.04,0.13
keyczar.csv,0.29,0.29,0.0,0.5,0.04,0.1,0.09,0.23,0.53,0.0,0.16,0.12,0.12,0.0,0.0,0.44,0.11,0.0,0.48
mimosa.csv,0.39,0.59,0.7,1.0,0.44,0.0,0.56,0.98,0.79,0.5,0.84,0.56,0.42,1.0,0.33,1.0,0.72,0.3,0.77
miranda.csv,0.14,0.17,0.26,0.5,0.13,0.1,0.28,0.06,0.26,0.0,0.16,0.09,0.13,0.2,0.33,0.11,0.28,0.17,0.0
nativeclient.csv,0.54,0.56,0.51,1.0,0.56,0.17,0.65,0.38,0.68,0.67,0.58,0.65,0.36,0.33,0.33,0.11,0.0,0.3,0.63
ogre.csv,1.0,1.0,1.0,0.0,1.0,0.98,1.0,1.0,1.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
openfrag.csv,0.86,0.39,0.47,1.0,0.25,0.79,0.45,0.98,0.0,0.5,0.53,0.47,0.3,0.2,0.5,0.28,0.75,0.48,0.78
qdvdauthor.csv,0.45,0.54,0.56,0.75,0.24,0.69,0.5,0.38,0.64,0.33,0.0,0.49,0.33,0.73,0.17,0.33,0.57,0.26,0.49
qse.csv,0.17,0.32,0.21,0.5,0.09,0.12,0.21,0.0,0.17,0.33,0.32,0.12,0.13,0.0,0.0,0.0,0.14,0.17,0.28
reactos-mirror.csv,0.0,0.44,0.42,1.0,0.76,0.86,0.42,0.19,0.36,0.67,0.47,0.51,0.59,0.47,1.0,0.89,0.63,0.83,0.64
sandiaportals.csv,0.57,0.66,0.7,1.0,0.91,0.74,0.65,0.79,0.45,0.67,0.68,0.63,0.49,0.27,0.5,0.0,0.59,0.61,0.69
synergyspace.csv,0.24,0.02,0.09,0.0,0.07,0.17,0.04,0.36,0.3,0.0,0.11,0.12,0.0,0.0,0.17,0.0,0.04,0.26,0.01
uclmda.csv,0.61,0.56,0.16,0.5,0.34,0.26,0.07,0.4,0.47,0.0,0.53,0.42,0.28,0.6,0.17,0.5,0.46,0.22,0.58
