,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.41,0.46,0.31,0.81,0.73,0.52,0.67,0.66,0.59,0.83,0.5
codesmith.csv,0.0,0.49,0.86,0.46,0.4,0.62,1.0,0.59,0.66,0.6,0.88
javaprofiler.csv,0.94,0.57,0.83,0.49,0.93,0.7,0.33,0.68,0.59,0.72,0.41
jpaul.csv,0.94,0.24,0.11,0.28,0.0,0.22,0.0,0.24,0.0,0.49,0.45
jrdf.csv,0.53,0.19,0.0,0.53,0.73,0.28,1.0,0.32,0.24,0.32,0.34
mecat.csv,0.12,0.11,0.0,0.34,0.13,0.2,1.0,0.0,0.21,0.12,0.0
neodatis-odb.csv,0.47,0.68,0.83,0.84,0.07,0.32,0.67,0.29,0.93,0.57,0.12
synecdoche.csv,0.35,0.46,0.34,0.63,0.47,0.35,0.67,0.24,0.69,0.32,0.62
tycho.csv,0.29,0.76,0.74,0.75,0.13,0.5,0.33,0.34,0.38,0.61,0.16
unicase.csv,0.71,0.92,0.43,0.77,0.93,0.85,1.0,0.71,0.72,0.76,0.67
xcmetadataservicestoolkit.csv,0.35,0.68,0.03,0.52,0.6,0.78,0.67,0.07,0.76,0.59,0.12
