,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.76,0.64,0.74,0.73,1.0,1.05,0.37,0.43,0.87,0.72,0.89
codesmith.csv,1.03,0.52,1.01,0.57,0.87,0.76,0.52,0.89,0.62,0.68,0.27
javaprofiler.csv,0.54,0.77,0.53,0.83,0.82,0.92,0.9,0.53,0.77,0.33,0.78
jpaul.csv,0.35,0.83,0.89,0.76,1.0,0.98,1.0,0.76,1.0,0.53,0.57
jrdf.csv,0.54,0.86,1.0,0.57,0.34,0.73,0.93,0.82,0.79,0.88,0.92
mecat.csv,0.88,0.89,1.0,0.68,0.89,0.8,0.13,1.0,0.8,0.88,1.0
neodatis-odb.csv,0.94,0.41,0.77,0.9,0.94,0.78,0.43,0.75,0.89,0.62,0.88
synecdoche.csv,0.72,0.78,0.72,0.69,0.54,0.65,0.88,0.86,0.4,0.86,0.85
tycho.csv,0.8,0.71,0.33,0.89,0.94,0.73,0.75,0.66,0.68,0.68,0.85
unicase.csv,0.68,0.83,0.81,0.47,0.9,0.75,0.88,0.9,0.9,1.0,0.78
xcmetadataservicestoolkit.csv,0.91,0.63,0.97,0.71,0.98,0.4,1.01,0.97,0.8,0.96,1.05
