,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,6.0,0.0,0.0,48.0,115.0,2.0,7.0,0.0,58.0,14.0,1.0,8.0,2.0,0.0,5.0,0.0,0.0,0.0
archive-crawler.csv,5.0,126.0,51.0,7.0,0.0,2.0,12.0,0.0,68.0,13.0,16.0,0.0,4.0,1.0,9.0,1.0,3.0,0.0
customwars.csv,123.0,126.0,51.0,87.0,415.0,80.0,12.0,2.0,86.0,4.0,0.0,77.0,4.0,1.0,9.0,57.0,260.0,0.0
gbif-providertoolkit.csv,1.0,126.0,2.0,0.0,415.0,0.0,3.0,0.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,260.0,3.0
gss.csv,0.0,126.0,51.0,19.0,415.0,1.0,8.0,0.0,70.0,15.0,1.0,1.0,4.0,1.0,9.0,57.0,260.0,0.0
heekscad.csv,0.0,0.0,51.0,28.0,415.0,2.0,6.0,0.0,70.0,14.0,1.0,0.0,3.0,1.0,7.0,0.0,4.0,0.0
ikvm.csv,6.0,0.0,0.0,35.0,90.0,3.0,9.0,0.0,21.0,9.0,22.0,10.0,5.0,0.0,7.0,0.0,61.0,0.0
jaxen.csv,123.0,126.0,51.0,87.0,415.0,80.0,144.0,71.0,0.0,104.0,111.0,77.0,1.0,0.0,0.0,57.0,260.0,49.0
jcae.csv,0.0,126.0,51.0,0.0,415.0,0.0,31.0,0.0,61.0,6.0,14.0,77.0,4.0,1.0,6.0,57.0,260.0,1.0
levent.csv,2.0,0.0,0.0,18.0,115.0,1.0,18.0,0.0,13.0,5.0,17.0,10.0,3.0,0.0,3.0,2.0,73.0,0.0
nicepress.csv,0.0,126.0,51.0,1.0,415.0,10.0,10.0,0.0,15.0,0.0,4.0,0.0,2.0,1.0,5.0,57.0,260.0,1.0
pnotepad.csv,6.0,5.0,0.0,48.0,3.0,3.0,12.0,0.0,70.0,16.0,1.0,6.0,4.0,1.0,9.0,0.0,0.0,0.0
qcad2.csv,1.0,126.0,51.0,7.0,415.0,80.0,0.0,0.0,24.0,2.0,13.0,77.0,3.0,1.0,2.0,57.0,260.0,0.0
qedo.csv,9.0,0.0,51.0,16.0,36.0,2.0,12.0,0.0,86.0,11.0,1.0,6.0,1.0,50.0,8.0,0.0,0.0,0.0
quarkplusplus.csv,123.0,126.0,51.0,87.0,415.0,80.0,144.0,71.0,5.0,104.0,111.0,77.0,1.0,0.0,0.0,57.0,260.0,49.0
sigil.csv,0.0,126.0,51.0,3.0,415.0,0.0,7.0,0.0,15.0,4.0,14.0,77.0,1.0,1.0,0.0,57.0,260.0,1.0
xcsoar.csv,3.0,0.0,1.0,47.0,4.0,3.0,12.0,0.0,70.0,16.0,1.0,4.0,4.0,1.0,9.0,1.0,6.0,0.0
xuggle.csv,6.0,2.0,2.0,48.0,1.0,2.0,12.0,0.0,70.0,16.0,1.0,1.0,4.0,1.0,9.0,0.0,9.0,0.0
