,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.77,0.61,0.59,0.19,0.2,0.33,0.5,0.76,0.08,0.43,0.27,0.46,0.68,0.86,0.81,0.91,0.16,0.71
archive-crawler.csv,0.39,0.0,0.0,0.19,0.04,0.34,0.51,0.81,0.11,0.45,0.28,0.64,0.6,0.58,0.74,0.33,0.07,0.73
customwars.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.39,0.0,0.24,0.46,0.0,0.61,0.57,0.7,0.0,0.0,0.12
gbif-providertoolkit.csv,0.49,0.0,0.08,0.2,0.0,0.58,0.33,0.04,0.44,0.55,0.22,0.07,0.32,0.32,0.44,0.15,0.0,0.43
gss.csv,0.12,0.0,0.0,0.26,0.0,0.29,0.53,0.63,0.11,0.51,0.27,0.22,0.6,0.58,0.74,0.0,0.0,0.88
heekscad.csv,0.82,0.1,0.0,0.24,0.0,0.29,0.51,0.8,0.11,0.51,0.27,0.47,0.62,0.58,0.75,0.22,0.03,0.79
ikvm.csv,0.7,0.62,0.82,0.14,0.13,0.29,0.42,0.62,0.16,0.47,0.24,0.35,0.36,0.56,0.49,0.75,0.18,0.69
jaxen.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.49,0.53,0.5,0.0,0.0,0.0
jcae.csv,0.12,0.0,0.0,0.53,0.0,0.42,0.51,0.59,0.12,0.6,0.27,0.0,0.61,0.57,0.77,0.0,0.0,0.63
levent.csv,0.78,0.62,0.62,0.24,0.2,0.38,0.55,0.88,0.25,0.49,0.3,0.47,0.48,0.57,0.73,0.87,0.1,0.73
nicepress.csv,0.03,0.0,0.0,0.18,0.0,0.37,0.47,0.81,0.21,0.78,0.36,0.16,0.55,0.39,0.76,0.0,0.0,0.18
pnotepad.csv,0.77,0.64,0.57,0.19,0.44,0.29,0.5,0.81,0.11,0.51,0.26,0.46,0.6,0.58,0.74,0.96,0.19,0.75
qcad2.csv,0.05,0.0,0.0,0.12,0.0,0.0,0.71,0.72,0.19,0.24,0.24,0.0,0.5,0.43,0.71,0.0,0.0,0.28
qedo.csv,0.06,0.03,0.0,0.08,0.04,0.07,0.16,0.32,0.0,0.1,0.17,0.11,0.17,0.0,0.22,0.08,0.47,0.17
quarkplusplus.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.8,0.47,0.44,0.0,0.0,0.0
sigil.csv,0.51,0.0,0.0,0.44,0.0,0.53,0.58,0.57,0.2,0.61,0.28,0.0,0.56,0.58,0.88,0.0,0.0,0.12
xcsoar.csv,0.79,0.73,0.55,0.19,0.35,0.29,0.5,0.81,0.11,0.51,0.26,0.48,0.6,0.58,0.74,0.76,0.18,0.75
xuggle.csv,0.79,0.36,0.39,0.19,0.28,0.28,0.5,0.81,0.11,0.51,0.26,0.52,0.6,0.58,0.74,0.78,0.08,0.75
