,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.69,0.78,0.63,0.61,0.33,0.67,0.75,1.0,0.56,0.45,0.93,0.75,0.74,0.39,0.67,0.3,0.08,0.13
bacula.csv,1.0,0.61,0.71,0.43,0.23,0.63,0.6,0.35,0.56,0.49,0.93,0.56,0.62,0.33,0.39,0.19,0.06,0.12
blue-c.csv,0.74,0.68,0.72,0.75,0.3,0.7,1.0,0.4,0.62,0.58,0.94,0.62,0.76,0.45,0.4,0.25,0.06,0.12
enlightenment.csv,0.69,0.69,0.66,0.41,0.3,0.98,0.86,0.49,0.62,0.46,0.94,0.55,0.65,0.33,0.42,0.09,0.05,0.14
fltk.csv,0.87,0.95,0.83,0.57,0.33,0.76,0.69,0.36,0.59,0.65,0.93,0.57,0.65,0.45,0.43,0.36,0.05,0.13
freewrl.csv,0.72,0.65,0.59,0.59,0.28,0.65,0.82,0.44,0.58,0.5,0.95,1.0,0.72,0.3,0.62,0.17,0.06,0.09
genecys.csv,0.7,0.57,0.63,0.37,0.26,0.63,0.68,0.35,0.52,0.36,1.0,0.62,0.6,0.3,0.39,0.15,0.04,0.11
genoviz.csv,0.9,0.83,0.85,0.67,0.43,0.73,0.0,0.62,0.85,0.64,0.95,1.0,0.92,0.35,1.0,0.0,0.1,1.0
gzigzag.csv,0.85,0.72,0.57,0.71,0.96,0.72,1.0,0.42,0.47,0.67,0.93,1.0,0.57,0.6,0.44,0.1,0.05,0.1
jparsec.csv,0.75,0.56,0.61,0.57,0.3,0.59,0.72,0.33,0.58,0.44,0.87,0.33,0.6,0.28,1.0,0.23,0.06,0.11
lportal.csv,0.51,0.49,0.57,1.0,0.19,0.52,0.42,0.0,0.33,0.34,1.0,0.45,0.4,0.15,0.5,0.03,0.97,0.09
ogrehg.csv,0.75,0.7,0.62,0.71,0.29,0.73,0.46,0.48,0.49,0.97,0.89,0.56,0.79,0.3,0.46,0.06,0.05,0.15
patterntesting.csv,0.74,0.7,0.69,0.94,0.28,0.72,0.78,0.41,0.59,0.52,0.91,0.52,0.74,0.49,0.42,0.22,0.07,0.17
pfaedit.csv,0.75,0.7,1.0,0.85,0.35,0.74,0.92,0.48,0.66,0.56,0.89,0.7,0.79,0.37,0.41,0.43,0.08,0.17
pgui.csv,0.78,0.71,0.65,0.83,0.28,0.71,1.0,0.38,0.54,0.5,0.86,0.6,0.7,1.0,0.69,0.09,0.07,0.11
roller.csv,0.7,0.66,0.5,0.73,0.39,0.61,0.76,0.46,0.54,0.42,0.92,1.0,1.0,0.39,0.58,0.24,0.07,0.11
sylpheed-claws.csv,0.74,0.66,0.84,0.52,0.34,0.72,0.81,0.38,0.99,0.51,0.95,0.58,0.67,0.34,0.41,0.12,0.07,0.2
xbg.csv,0.6,0.33,0.67,0.18,0.0,0.73,0.0,0.2,0.46,0.27,0.94,0.6,0.75,0.25,0.6,1.0,0.06,0.17
