,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.65,0.51,0.61,0.72,0.78,0.51,0.96,1.0,0.7,0.71,0.55,0.79,0.45,0.64,0.37,0.54
arcallians.csv,0.71,0.56,0.67,0.4,0.36,0.38,1.0,0.99,0.66,0.56,0.76,0.71,0.58,0.82,0.85,0.55
arianne.csv,0.4,0.92,1.0,1.0,0.87,1.0,0.61,0.97,0.74,1.0,1.0,1.0,0.51,0.95,0.72,0.83
aztec.csv,0.82,0.64,0.86,0.54,0.68,0.53,0.27,0.69,0.71,0.51,0.63,0.36,0.96,0.84,0.8,0.59
biopax.csv,0.91,0.8,1.0,0.72,0.92,0.7,0.87,1.0,0.99,0.87,0.67,1.0,0.79,0.92,0.2,0.88
bl-toolkit.csv,0.75,0.98,0.28,1.0,0.81,1.0,0.97,0.7,0.8,1.0,1.0,1.04,1.0,1.0,0.71,1.0
gnupdate.csv,0.58,0.73,0.71,0.57,0.34,0.83,0.99,0.72,0.84,0.27,0.61,0.7,0.82,0.8,0.52,0.63
les-indemodables.csv,0.77,0.58,0.88,0.42,0.64,0.61,0.64,0.94,0.8,0.67,0.66,0.78,0.6,0.46,0.41,0.86
ng4j.csv,0.62,0.55,0.5,0.51,0.37,0.53,0.75,0.96,0.71,0.47,0.63,0.94,0.68,0.76,0.42,0.32
openxava.csv,0.69,0.66,0.84,0.62,1.01,0.91,0.85,0.43,0.67,0.87,0.65,0.25,0.63,0.58,0.86,0.7
phonon-vlc-mplayer.csv,0.58,0.59,0.44,0.61,0.26,0.38,0.48,0.68,0.49,0.4,0.6,0.63,0.62,0.85,0.51,0.43
qgis.csv,0.73,0.48,0.86,1.0,0.28,0.61,1.0,0.94,0.55,1.0,1.0,0.69,0.46,0.62,0.34,0.57
rsyslog.csv,0.65,0.47,0.9,0.32,0.74,0.45,0.93,0.98,0.81,0.62,0.65,0.98,0.8,0.78,0.83,0.75
vars-redux.csv,0.6,0.53,0.61,0.6,0.6,0.59,0.84,0.49,0.37,0.79,0.73,0.92,0.6,0.55,0.65,0.55
xapian.csv,0.56,0.76,0.96,0.96,0.56,0.88,0.95,0.98,0.93,0.77,0.7,1.0,0.3,0.84,0.66,0.79
xqilla.csv,0.83,0.85,0.92,0.96,1.02,0.89,0.89,0.94,0.81,0.93,0.67,0.06,0.94,0.97,0.95,0.94
