,arianne.csv,qgis.csv,bl-toolkit.csv,rsyslog.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,vars-redux.csv,gnupdate.csv,alsa.csv,xqilla.csv,xapian.csv,les-indemodables.csv,biopax.csv,ng4j.csv
alsa.csv,0.62,0.68,0.67,0.62,0.48,0.67,0.14,0.2,0.66,0.28,0.68,0.06,0.49,0.57,0.78,0.45
arcallians.csv,0.61,0.65,0.77,0.73,0.63,0.76,0.14,0.19,0.54,0.46,0.4,0.06,0.44,0.54,0.86,0.48
arianne.csv,0.71,0.65,0.82,0.68,0.44,0.68,0.2,0.17,0.62,0.32,0.77,0.05,0.44,0.53,0.82,0.43
aztec.csv,0.29,0.56,0.24,0.63,0.44,0.68,0.37,0.19,0.41,0.41,0.57,0.19,0.07,0.27,0.37,0.41
biopax.csv,0.66,0.67,0.81,0.7,0.44,0.67,0.14,0.18,0.59,0.33,0.7,0.05,0.37,0.55,0.88,0.42
bl-toolkit.csv,0.63,0.54,0.83,0.68,0.3,0.69,0.13,0.2,0.56,0.32,0.77,0.0,0.34,0.53,0.69,0.4
gnupdate.csv,0.6,0.6,0.44,0.67,0.63,0.69,0.14,0.17,0.61,0.61,0.63,0.07,0.21,0.52,0.69,0.47
les-indemodables.csv,0.63,0.56,0.75,0.71,0.39,0.58,0.16,0.16,0.35,0.3,0.55,0.04,0.42,0.6,0.8,0.28
ng4j.csv,0.52,0.64,0.7,0.65,0.62,0.65,0.27,0.19,0.64,0.44,0.62,0.05,0.32,0.55,0.73,0.63
openxava.csv,0.46,0.48,0.27,0.53,0.05,0.15,0.09,0.32,0.45,0.16,0.62,0.17,0.37,0.52,0.24,0.33
phonon-vlc-mplayer.csv,0.55,0.6,0.74,0.69,0.71,0.76,0.32,0.19,0.66,0.49,0.61,0.06,0.49,0.53,0.66,0.56
qgis.csv,0.41,0.64,0.34,0.0,0.68,0.53,0.0,0.16,0.56,0.0,0.0,0.07,0.49,0.59,0.79,0.43
rsyslog.csv,0.61,0.66,0.27,0.79,0.41,0.68,0.09,0.16,0.55,0.37,0.52,0.05,0.38,0.31,0.31,0.29
vars-redux.csv,0.58,0.59,0.59,0.54,0.41,0.57,0.13,0.32,0.73,0.21,0.42,0.05,0.38,0.58,0.52,0.44
xapian.csv,0.7,0.67,0.81,0.66,0.53,0.69,0.13,0.17,0.6,0.35,0.68,0.05,0.63,0.46,0.87,0.41
xqilla.csv,0.43,0.25,0.15,0.07,0.04,0.33,0.08,0.12,0.34,0.09,0.5,0.46,0.15,0.05,0.22,0.13
