,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.69,1.0,1.0,0.56,1.0,0.89,1.0,0.51,0.27,1.0,1.0,0.72,0.52,0.64,0.95,0.73,1.03,0.79
alsa.csv,0.57,0.93,0.46,0.63,0.72,0.66,0.57,0.62,0.39,0.6,0.6,0.46,0.5,0.66,0.81,0.72,1.06,0.44
boost.csv,0.71,0.81,0.54,0.53,0.73,0.39,0.62,0.65,0.78,0.46,0.55,0.5,0.84,0.58,0.59,0.7,0.74,0.58
fmri-dmt.csv,0.74,0.95,0.95,0.56,0.83,0.74,0.82,0.95,0.89,0.89,0.88,0.81,0.5,0.7,0.23,0.9,1.12,0.97
genecys.csv,0.88,0.82,0.91,0.87,0.68,0.39,0.87,0.76,0.8,0.81,0.93,0.72,1.0,0.89,0.8,0.94,0.67,0.58
gusanos.csv,0.59,0.74,0.86,0.68,0.68,0.91,0.81,0.89,0.49,0.86,0.37,0.68,0.72,0.64,0.71,0.59,0.91,0.92
hatari.csv,0.81,0.89,0.46,0.87,0.78,0.9,0.78,0.72,0.76,0.74,0.67,1.0,0.72,0.62,0.92,0.75,0.61,0.63
n2cms.csv,0.32,0.77,0.67,0.94,0.9,0.69,0.6,0.6,0.77,0.79,0.59,0.62,1.06,0.8,0.57,0.58,0.62,0.49
nug.csv,0.79,0.7,0.87,0.33,1.0,1.06,0.95,0.88,0.72,0.91,0.8,0.94,0.34,0.84,0.7,0.65,0.96,1.05
nuttx.csv,0.92,0.53,0.76,0.71,0.63,0.61,0.73,0.55,0.61,0.75,0.6,0.63,0.6,0.86,0.92,0.75,0.76,0.66
proftp.csv,0.98,1.0,1.0,0.94,0.61,0.66,0.99,0.34,0.77,0.9,0.66,0.67,1.0,0.55,0.88,0.95,0.32,0.68
pydev.csv,0.59,0.85,0.54,0.83,0.58,0.59,0.81,0.46,0.54,0.82,0.75,0.58,0.94,0.45,0.56,0.55,0.49,0.5
tcl.csv,0.82,0.89,0.82,0.83,0.45,0.92,0.99,0.75,0.77,0.64,0.89,0.87,1.04,0.79,0.68,0.64,0.88,1.0
truevision.csv,0.68,0.97,0.73,0.86,1.0,0.48,0.89,0.55,0.45,0.58,0.75,0.37,0.84,0.65,0.59,0.7,0.99,0.4
uclmda.csv,1.0,0.86,1.0,1.0,1.0,0.99,0.99,0.88,1.0,0.98,0.8,1.0,0.01,0.99,1.01,0.82,1.0,0.99
uwom.csv,0.67,0.83,0.71,0.83,1.0,0.59,0.94,0.59,0.77,0.61,0.81,0.53,0.95,0.52,0.64,0.77,0.91,0.29
wxjs.csv,0.98,1.0,1.0,1.0,0.72,0.98,0.98,0.75,1.02,1.0,0.92,0.97,0.98,0.95,0.87,0.95,0.19,1.0
wxstudio.csv,0.75,0.75,0.8,0.83,0.85,1.02,0.7,0.77,0.7,0.9,0.78,0.96,0.17,0.73,0.74,0.39,0.65,1.08
