,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.58,1.0,1.0,0.82,1.0,0.95,1.0,0.73,0.83,1.0,1.0,0.45,0.6,0.67,0.67,0.54,0.0,0.84
alsa.csv,0.67,0.89,0.69,0.65,0.36,0.65,0.66,0.43,0.67,0.52,0.46,0.58,0.94,0.72,0.83,0.49,0.0,0.81
boost.csv,0.71,0.54,0.69,0.82,0.28,0.79,0.61,0.37,0.25,0.7,0.48,0.61,0.87,0.75,0.67,0.35,0.5,0.76
fmri-dmt.csv,0.6,0.94,0.97,0.53,0.33,0.52,0.66,0.23,0.33,0.85,0.61,0.34,0.96,0.56,1.0,0.49,0.0,0.62
genecys.csv,0.25,0.6,0.28,0.47,0.51,0.79,0.57,1.0,1.0,0.89,0.99,0.34,1.0,0.64,0.67,0.81,0.5,0.68
gusanos.csv,0.5,0.67,0.93,0.76,0.44,0.81,0.92,1.0,0.58,0.81,0.81,0.92,0.74,0.75,0.67,0.62,0.25,0.98
hatari.csv,0.83,0.17,0.69,0.88,0.9,0.87,0.85,0.87,0.75,0.75,0.57,0.97,0.48,0.83,0.83,0.35,1.0,0.81
n2cms.csv,0.81,0.26,0.72,0.47,0.79,0.6,0.5,0.97,0.92,0.21,0.55,0.66,0.64,0.92,0.67,0.57,1.0,0.69
nug.csv,0.9,0.72,0.9,0.82,0.97,0.18,0.96,0.23,0.5,0.19,0.88,0.55,0.93,0.69,0.5,0.43,0.12,0.52
nuttx.csv,0.08,0.7,0.28,0.47,0.54,0.48,0.33,0.63,0.42,0.26,0.54,0.45,0.5,0.22,0.17,0.27,0.25,0.41
proftp.csv,0.02,0.0,0.0,0.18,0.74,0.44,0.01,0.73,0.75,0.1,0.58,0.39,0.0,0.56,0.17,0.05,1.0,0.33
pydev.csv,0.83,0.15,0.52,0.41,0.67,0.61,0.2,0.57,0.67,0.19,0.28,0.61,0.34,0.67,0.67,0.49,0.75,0.52
tcl.csv,0.73,0.82,0.62,0.59,0.74,0.76,0.01,0.63,0.5,0.38,0.54,0.42,0.09,0.42,0.67,0.51,0.62,0.0
truevision.csv,0.38,0.03,0.28,0.59,0.0,0.81,0.11,0.6,0.67,0.49,0.25,0.74,0.94,0.56,0.67,0.43,0.12,0.78
uclmda.csv,0.0,0.15,0.0,0.0,0.0,0.02,0.01,0.17,0.0,0.02,0.31,0.0,0.99,0.03,0.0,0.24,0.0,0.02
uwom.csv,0.6,0.18,0.76,0.18,0.0,0.45,0.06,0.83,0.25,0.47,0.19,0.47,0.55,0.72,0.5,0.54,0.12,0.85
wxjs.csv,0.02,0.0,0.0,0.0,0.28,0.02,0.02,0.27,0.0,0.0,0.09,0.03,0.02,0.06,0.17,0.05,1.0,0.0
wxstudio.csv,0.27,0.33,0.21,0.29,0.72,0.15,0.42,0.37,0.67,0.29,0.49,0.55,0.98,0.36,0.33,0.7,0.88,0.36
