,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.48,0.9,0.62,0.56,0.66,0.91,0.77,0.65,0.38,0.55,0.82,0.39,0.74,0.49,0.12,0.47,0.0,0.37
alsa.csv,0.56,0.85,0.66,0.47,0.42,0.75,0.68,0.5,0.33,0.49,0.58,0.6,0.96,0.5,0.17,0.45,0.0,0.51
boost.csv,0.52,0.65,0.62,0.57,0.39,0.86,0.65,0.48,0.13,0.61,0.62,0.55,0.92,0.55,0.2,0.41,0.13,0.42
fmri-dmt.csv,0.47,0.88,0.62,0.49,0.36,0.65,0.63,0.24,0.08,0.51,0.63,0.31,0.97,0.43,0.46,0.4,0.0,0.26
genecys.csv,0.26,0.69,0.28,0.32,0.51,0.86,0.57,0.68,0.18,0.55,0.82,0.36,0.98,0.4,0.15,0.54,0.15,0.4
gusanos.csv,0.51,0.74,0.62,0.49,0.48,0.83,0.77,0.65,0.26,0.5,0.83,0.58,0.84,0.52,0.16,0.56,0.07,0.37
hatari.csv,0.54,0.27,0.66,0.48,0.67,0.87,0.74,0.63,0.15,0.52,0.63,0.51,0.64,0.56,0.15,0.38,0.23,0.41
n2cms.csv,0.74,0.39,0.58,0.3,0.59,0.71,0.59,0.72,0.17,0.32,0.64,0.5,0.77,0.53,0.21,0.55,0.22,0.45
nug.csv,0.58,0.77,0.6,0.68,0.65,0.28,0.76,0.26,0.13,0.21,0.79,0.36,0.96,0.43,0.15,0.46,0.05,0.22
nuttx.csv,0.14,0.78,0.36,0.38,0.55,0.63,0.44,0.59,0.24,0.36,0.63,0.44,0.66,0.23,0.06,0.36,0.18,0.33
proftp.csv,0.04,0.0,0.0,0.17,0.64,0.59,0.01,0.73,0.15,0.16,0.64,0.41,0.0,0.51,0.08,0.1,0.36,0.36
pydev.csv,0.62,0.25,0.57,0.31,0.62,0.73,0.31,0.64,0.2,0.28,0.41,0.51,0.5,0.59,0.21,0.56,0.23,0.52
tcl.csv,0.5,0.82,0.49,0.38,0.7,0.8,0.01,0.52,0.12,0.47,0.58,0.32,0.17,0.34,0.17,0.5,0.12,0.0
truevision.csv,0.42,0.06,0.4,0.37,0.0,0.86,0.19,0.58,0.26,0.5,0.4,0.67,0.95,0.45,0.2,0.44,0.04,0.52
uclmda.csv,0.0,0.25,0.0,0.0,0.0,0.03,0.02,0.22,0.0,0.04,0.42,0.0,1.0,0.04,0.0,0.29,0.0,0.03
uwom.csv,0.5,0.3,0.59,0.27,0.0,0.61,0.1,0.66,0.16,0.48,0.32,0.6,0.7,0.57,0.18,0.46,0.07,0.63
wxjs.csv,0.04,0.0,0.0,0.0,0.42,0.03,0.04,0.37,0.0,0.0,0.16,0.05,0.04,0.09,0.09,0.1,0.48,0.0
wxstudio.csv,0.35,0.47,0.31,0.26,0.57,0.24,0.51,0.39,0.15,0.26,0.56,0.35,0.98,0.36,0.14,0.69,0.19,0.16
