,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.33,0.6,0.81,0.86,0.94,0.84,0.65,0.88,0.53,0.9,0.89,0.42,0.0
ftm.csv,0.75,0.87,0.47,0.82,0.69,0.64,0.53,0.57,0.92,0.6,0.81,0.46,0.64
google-web-toolkit.csv,0.33,0.69,0.47,0.98,0.53,0.47,0.43,0.38,0.93,0.48,0.64,0.39,0.39
gzigzag.csv,0.37,0.93,0.52,0.76,0.82,0.68,0.76,0.86,0.75,0.57,0.94,0.43,0.5
illumination.csv,0.5,0.0,0.39,0.0,0.43,0.0,0.0,0.5,0.71,0.5,0.67,0.0,0.52
jcache.csv,0.44,0.45,0.4,0.52,0.5,0.39,0.43,0.39,0.42,0.4,0.51,0.65,0.41
moast.csv,0.9,0.45,0.38,0.98,0.78,0.58,0.79,0.9,0.65,0.44,0.49,0.95,0.67
nativeclient.csv,0.37,0.44,0.42,0.53,0.49,0.43,0.46,0.35,0.44,0.38,0.54,0.48,0.42
ns-3-dev-def-routing.csv,0.33,0.47,0.56,0.79,0.69,0.6,0.56,0.52,0.88,0.62,0.65,0.56,0.5
openfrag.csv,0.31,0.44,0.45,0.66,0.52,0.47,0.43,0.39,0.52,0.44,0.67,0.44,0.54
qdvdauthor.csv,0.7,0.53,0.68,0.97,0.53,0.74,0.47,0.46,0.78,0.54,0.54,0.52,0.6
sauerbraten.csv,0.33,0.42,0.47,0.43,0.42,0.45,0.39,0.37,0.38,0.41,0.49,0.42,0.54
zoolib.csv,0.31,0.99,0.46,0.97,0.79,0.59,0.56,0.43,0.56,0.39,0.96,0.53,0.59
